"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"10/01/2018","1254","Census Tract 209200","1255","Census Tract 209300",76,33,174,78,35,176,159,78,326,67,32,143,67,31,146,50,25,100
"10/02/2018","1254","Census Tract 209200","1255","Census Tract 209300",75,33,166,73,34,157,141,70,281,76,36,161,62,29,129,47,24,91
"10/03/2018","1254","Census Tract 209200","1255","Census Tract 209300",70,32,150,81,37,178,136,74,251,66,33,133,57,28,116,45,24,86
"10/04/2018","1254","Census Tract 209200","1255","Census Tract 209300",85,39,184,119,64,220,132,65,268,100,52,193,60,31,118,51,25,102
"10/05/2018","1254","Census Tract 209200","1255","Census Tract 209300",75,35,162,75,34,165,118,50,278,86,41,182,65,33,128,49,25,97
"10/06/2018","1254","Census Tract 209200","1255","Census Tract 209300",63,30,133,53,26,109,81,38,173,69,33,144,62,31,120,53,25,111
"10/07/2018","1254","Census Tract 209200","1255","Census Tract 209300",56,27,114,53,25,112,57,32,101,62,31,121,54,27,107,54,25,114
"10/08/2018","1254","Census Tract 209200","1255","Census Tract 209300",65,30,140,66,31,142,88,40,193,69,33,147,57,27,116,50,25,101
"10/09/2018","1254","Census Tract 209200","1255","Census Tract 209300",78,34,175,69,33,146,167,80,350,75,37,152,69,31,155,50,25,101
"10/10/2018","1254","Census Tract 209200","1255","Census Tract 209300",80,35,183,70,33,147,186,89,391,84,39,179,65,30,139,47,24,92
"10/11/2018","1254","Census Tract 209200","1255","Census Tract 209300",79,35,176,73,34,156,187,82,426,77,37,160,64,31,132,52,25,107
"10/12/2018","1254","Census Tract 209200","1255","Census Tract 209300",92,39,215,72,32,157,153,79,295,82,40,167,111,46,267,48,24,97
"10/13/2018","1254","Census Tract 209200","1255","Census Tract 209300",67,32,141,64,30,136,69,38,126,61,30,122,78,36,172,58,27,125
"10/14/2018","1254","Census Tract 209200","1255","Census Tract 209300",65,30,140,70,32,156,62,33,114,62,31,125,69,33,147,65,27,151
