"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"01/01/2018","1228","Census Tract 207301","1232","Census Tract 207502",226,83,611,227,103,497,180,65,496,196,77,501,183,60,559,248,93,659
"01/02/2018","1228","Census Tract 207301","1232","Census Tract 207502",189,69,515,161,61,425,199,72,546,203,76,542,173,60,491,191,75,486
"01/03/2018","1228","Census Tract 207301","1232","Census Tract 207502",200,77,517,175,74,415,245,92,650,199,77,511,189,73,487,169,64,446
"01/04/2018","1228","Census Tract 207301","1232","Census Tract 207502",194,75,504,145,51,406,220,92,527,215,84,549,183,67,496,158,72,344
"01/05/2018","1228","Census Tract 207301","1232","Census Tract 207502",201,73,552,168,65,429,253,100,639,235,87,632,170,61,474,150,54,412
"01/06/2018","1228","Census Tract 207301","1232","Census Tract 207502",193,72,516,172,59,503,172,68,437,214,83,548,197,70,548,187,72,489
"01/07/2018","1228","Census Tract 207301","1232","Census Tract 207502",202,77,530,195,69,548,229,103,507,209,86,511,184,69,487,198,71,551
"01/08/2018","1228","Census Tract 207301","1232","Census Tract 207502",220,80,606,188,69,512,335,143,784,201,76,532,191,65,561,174,69,438
"01/09/2018","1228","Census Tract 207301","1232","Census Tract 207502",217,79,596,204,71,588,264,97,716,227,81,641,187,74,477,166,64,431
"01/10/2018","1228","Census Tract 207301","1232","Census Tract 207502",212,79,566,199,72,549,299,115,775,211,84,524,175,64,473,179,68,473
"01/11/2018","1228","Census Tract 207301","1232","Census Tract 207502",224,83,604,212,77,582,314,115,858,217,80,586,204,79,522,163,62,424
"01/12/2018","1228","Census Tract 207301","1232","Census Tract 207502",215,78,595,200,73,551,293,106,809,248,90,683,184,66,511,155,64,373
"01/13/2018","1228","Census Tract 207301","1232","Census Tract 207502",212,78,578,179,69,458,208,76,570,244,93,634,210,75,585,199,73,542
"01/14/2018","1228","Census Tract 207301","1232","Census Tract 207502",195,73,517,197,72,538,193,72,518,195,68,561,176,66,464,206,83,509
"01/15/2018","1228","Census Tract 207301","1232","Census Tract 207502",194,71,527,152,60,385,201,74,545,187,74,472,211,70,634,188,71,495
"01/16/2018","1228","Census Tract 207301","1232","Census Tract 207502",227,85,604,235,101,546,303,107,856,220,86,564,188,69,511,177,68,456
"01/17/2018","1228","Census Tract 207301","1232","Census Tract 207502",223,85,582,209,87,502,325,122,860,214,87,526,185,72,476,155,59,407
"01/18/2018","1228","Census Tract 207301","1232","Census Tract 207502",222,80,614,186,64,544,356,125,1015,219,85,560,175,66,465,172,71,412
"01/19/2018","1228","Census Tract 207301","1232","Census Tract 207502",231,84,630,202,78,521,332,113,976,240,89,646,205,77,544,174,70,431
"01/20/2018","1228","Census Tract 207301","1232","Census Tract 207502",253,88,728,298,86,1030,212,86,520,746,357,1556,224,76,656,202,77,526
"01/21/2018","1228","Census Tract 207301","1232","Census Tract 207502",205,73,572,191,62,586,186,68,511,213,76,595,172,59,497,227,86,598
"01/22/2018","1228","Census Tract 207301","1232","Census Tract 207502",210,79,556,185,70,484,265,99,707,212,86,524,201,75,536,150,56,395
"01/23/2018","1228","Census Tract 207301","1232","Census Tract 207502",223,81,614,209,80,545,293,98,878,225,84,602,195,72,527,179,71,453
"01/24/2018","1228","Census Tract 207301","1232","Census Tract 207502",222,82,599,207,83,514,303,109,845,221,86,565,201,71,562,176,68,455
"01/25/2018","1228","Census Tract 207301","1232","Census Tract 207502",230,82,644,205,77,542,382,126,1156,225,86,586,184,67,503,168,69,409
"01/26/2018","1228","Census Tract 207301","1232","Census Tract 207502",278,96,800,183,70,474,370,147,925,244,95,630,363,119,1107,171,58,501
"01/27/2018","1228","Census Tract 207301","1232","Census Tract 207502",306,79,1182,339,80,1443,328,74,1443,331,93,1168,302,77,1184,282,78,1010
"01/28/2018","1228","Census Tract 207301","1232","Census Tract 207502",217,73,644,177,72,435,164,62,436,204,76,544,157,57,430,299,89,1004
"01/29/2018","1228","Census Tract 207301","1232","Census Tract 207502",193,73,511,183,69,483,243,86,684,199,77,508,183,72,462,137,52,361
"01/30/2018","1228","Census Tract 207301","1232","Census Tract 207502",214,79,576,218,94,508,254,80,803,202,80,508,200,76,522,194,70,534
"01/31/2018","1228","Census Tract 207301","1232","Census Tract 207502",216,83,561,197,75,517,310,126,766,201,84,479,193,75,492,187,63,549
"02/01/2018","1228","Census Tract 207301","1232","Census Tract 207502",207,78,543,207,87,490,279,101,767,207,83,518,176,67,465,172,65,458
"02/02/2018","1228","Census Tract 207301","1232","Census Tract 207502",219,80,593,195,80,474,265,100,702,232,91,593,208,72,595,183,69,483
"02/03/2018","1228","Census Tract 207301","1232","Census Tract 207502",190,72,497,204,71,585,195,70,537,194,79,476,190,71,507,182,72,460
"02/04/2018","1228","Census Tract 207301","1232","Census Tract 207502",200,75,531,215,84,548,167,66,424,211,83,530,176,65,476,212,78,575
"02/05/2018","1228","Census Tract 207301","1232","Census Tract 207502",211,81,549,197,76,509,245,93,650,211,86,518,208,76,567,168,68,417
"02/06/2018","1228","Census Tract 207301","1232","Census Tract 207502",211,79,558,195,75,502,278,110,702,216,86,542,188,67,524,150,61,369
