"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"09/17/2019","1220","Census Tract 206031","1230","Census Tract 207400",469,182,1207,664,300,1472,613,310,1211,414,172,993,342,113,1026,324,144,729
"09/18/2019","1220","Census Tract 206031","1230","Census Tract 207400",437,175,1093,505,204,1250,645,340,1225,459,196,1076,269,110,659,316,127,786
"09/19/2019","1220","Census Tract 206031","1230","Census Tract 207400",410,167,1007,492,244,989,620,315,1221,369,165,824,314,121,812,276,106,717
"09/20/2019","1220","Census Tract 206031","1230","Census Tract 207400",411,177,951,383,213,688,532,240,1178,458,228,919,330,134,815,291,113,747
"09/21/2019","1220","Census Tract 206031","1230","Census Tract 207400",337,131,870,347,149,808,409,135,1234,358,165,777,302,117,779,312,117,833
"09/22/2019","1220","Census Tract 206031","1230","Census Tract 207400",313,119,825,275,73,1024,336,140,810,375,158,888,272,94,783,290,119,710
"09/23/2019","1220","Census Tract 206031","1230","Census Tract 207400",384,158,933,393,195,791,520,254,1061,367,168,801,266,95,746,371,139,987
"09/24/2019","1220","Census Tract 206031","1230","Census Tract 207400",407,166,992,448,228,880,617,281,1354,368,163,833,291,117,723,327,122,874
"09/25/2019","1220","Census Tract 206031","1230","Census Tract 207400",407,164,1010,512,248,1059,604,287,1275,364,155,854,318,124,811,276,101,752
"09/26/2019","1220","Census Tract 206031","1230","Census Tract 207400",405,170,968,544,241,1232,526,270,1025,392,168,913,305,134,694,302,107,850
"09/27/2019","1220","Census Tract 206031","1230","Census Tract 207400",388,169,887,437,197,969,504,264,962,395,187,833,316,132,756,301,119,760
"09/28/2019","1220","Census Tract 206031","1230","Census Tract 207400",310,137,702,329,112,965,324,159,658,311,143,679,289,131,635,323,132,791
"09/29/2019","1220","Census Tract 206031","1230","Census Tract 207400",289,117,713,259,98,685,315,160,619,310,129,745,282,103,769,257,98,674
"09/30/2019","1220","Census Tract 206031","1230","Census Tract 207400",371,139,991,375,143,980,521,244,1112,358,155,823,255,94,685,351,111,1108
"07/01/2019","1220","Census Tract 206031","1230","Census Tract 207400",374,157,892,399,202,788,525,270,1020,360,167,776,272,102,726,232,92,585
"07/02/2019","1220","Census Tract 206031","1230","Census Tract 207400",378,163,877,411,165,1025,507,270,955,375,189,742,285,106,767,256,119,550
"07/03/2019","1220","Census Tract 206031","1230","Census Tract 207400",383,157,936,405,204,801,520,255,1058,418,187,932,260,104,647,269,94,769
"07/04/2019","1220","Census Tract 206031","1230","Census Tract 207400",290,103,812,196,78,493,291,107,788,266,91,772,314,116,845,290,98,861
"07/05/2019","1220","Census Tract 206031","1230","Census Tract 207400",320,124,827,268,79,911,426,185,982,359,172,748,247,92,662,306,117,800
"07/06/2019","1220","Census Tract 206031","1230","Census Tract 207400",269,110,658,226,98,516,287,128,640,305,146,634,254,96,670,242,90,648
"07/07/2019","1220","Census Tract 206031","1230","Census Tract 207400",297,116,763,250,85,735,310,113,850,342,138,844,268,102,699,273,114,648
"07/08/2019","1220","Census Tract 206031","1230","Census Tract 207400",360,155,833,406,175,939,504,251,1011,324,147,715,270,114,639,270,118,618
"07/09/2019","1220","Census Tract 206031","1230","Census Tract 207400",386,164,909,475,253,891,538,228,1265,350,170,720,282,127,626,249,85,722
"07/10/2019","1220","Census Tract 206031","1230","Census Tract 207400",395,162,963,422,214,829,634,333,1207,379,164,878,260,102,662,280,111,708
"07/11/2019","1220","Census Tract 206031","1230","Census Tract 207400",381,163,888,445,175,1126,539,287,1009,358,167,770,323,144,722,246,94,644
"07/12/2019","1220","Census Tract 206031","1230","Census Tract 207400",408,190,879,456,201,1035,472,242,920,410,218,771,361,155,837,316,132,752
"07/13/2019","1220","Census Tract 206031","1230","Census Tract 207400",293,133,647,293,91,940,306,152,614,329,158,687,282,134,593,246,100,605
"07/14/2019","1220","Census Tract 206031","1230","Census Tract 207400",287,108,758,283,77,1040,292,124,685,327,136,784,237,84,665,280,106,739
"07/15/2019","1220","Census Tract 206031","1230","Census Tract 207400",383,163,900,475,218,1036,450,199,1018,359,153,840,272,118,624,305,130,714
"07/16/2019","1220","Census Tract 206031","1230","Census Tract 207400",415,180,958,536,236,1217,549,267,1130,383,188,782,298,123,721,299,116,766
"07/17/2019","1220","Census Tract 206031","1230","Census Tract 207400",423,174,1026,503,242,1044,613,258,1454,403,192,846,309,115,829,240,105,548
"07/18/2019","1220","Census Tract 206031","1230","Census Tract 207400",388,165,913,469,199,1105,543,278,1058,389,195,777,248,97,631,298,128,694
"07/19/2019","1220","Census Tract 206031","1230","Census Tract 207400",398,176,902,397,173,911,536,271,1060,431,203,913,301,136,666,250,106,590
"07/20/2019","1220","Census Tract 206031","1230","Census Tract 207400",312,137,712,255,99,656,357,190,670,340,179,647,298,118,751,259,104,639
"07/21/2019","1220","Census Tract 206031","1230","Census Tract 207400",324,128,817,324,147,713,300,131,688,343,168,701,267,88,809,355,131,958
"07/22/2019","1220","Census Tract 206031","1230","Census Tract 207400",372,149,928,402,155,1042,496,236,1042,358,156,822,310,123,778,287,103,800
"07/23/2019","1220","Census Tract 206031","1230","Census Tract 207400",445,195,1015,463,200,1069,720,328,1581,398,212,747,328,142,755,301,125,721
"07/24/2019","1220","Census Tract 206031","1230","Census Tract 207400",455,179,1157,558,220,1410,591,247,1410,427,188,969,352,149,830,291,87,972
"07/25/2019","1220","Census Tract 206031","1230","Census Tract 207400",374,151,929,365,156,855,574,266,1241,345,147,807,283,115,693,258,95,695
"07/26/2019","1220","Census Tract 206031","1230","Census Tract 207400",412,181,939,457,201,1040,514,255,1036,438,223,860,333,138,801,293,114,752
"07/27/2019","1220","Census Tract 206031","1230","Census Tract 207400",318,132,761,293,104,819,298,131,676,418,174,1005,302,137,665,245,100,599
"07/28/2019","1220","Census Tract 206031","1230","Census Tract 207400",313,123,796,292,98,865,275,112,671,357,148,858,285,111,732,309,119,797
"07/29/2019","1220","Census Tract 206031","1230","Census Tract 207400",373,155,898,443,177,1110,485,208,1132,357,168,757,246,96,630,306,137,683
"07/30/2019","1220","Census Tract 206031","1230","Census Tract 207400",403,170,954,532,246,1149,550,279,1083,358,173,742,278,113,681,337,117,968
"07/31/2019","1220","Census Tract 206031","1230","Census Tract 207400",397,175,900,461,225,944,535,260,1102,387,174,858,287,134,617,288,120,691
"08/01/2019","1220","Census Tract 206031","1230","Census Tract 207400",402,171,941,439,196,981,618,340,1121,404,222,734,273,120,618,254,83,775
"08/02/2019","1220","Census Tract 206031","1230","Census Tract 207400",384,165,892,450,191,1059,487,228,1036,409,189,884,299,127,700,271,116,636
"08/03/2019","1220","Census Tract 206031","1230","Census Tract 207400",338,150,758,315,110,902,315,149,664,355,181,694,352,161,770,322,125,827
"08/04/2019","1220","Census Tract 206031","1230","Census Tract 207400",296,117,749,209,65,674,331,137,800,343,135,869,265,110,641,260,105,642
"08/05/2019","1220","Census Tract 206031","1230","Census Tract 207400",373,156,891,445,216,913,519,269,999,352,150,826,265,115,609,259,91,738
"08/06/2019","1220","Census Tract 206031","1230","Census Tract 207400",408,176,944,448,209,958,616,304,1247,385,195,761,276,121,628,328,122,879
"08/07/2019","1220","Census Tract 206031","1230","Census Tract 207400",511,213,1224,553,267,1142,769,334,1767,506,254,1005,329,137,786,286,111,736
"08/08/2019","1220","Census Tract 206031","1230","Census Tract 207400",409,171,977,451,213,952,546,250,1191,386,177,842,320,139,734,268,86,831
"08/09/2019","1220","Census Tract 206031","1230","Census Tract 207400",386,185,806,481,242,953,444,240,821,410,204,825,313,150,651,259,112,600
"08/10/2019","1220","Census Tract 206031","1230","Census Tract 207400",339,139,829,324,130,810,314,148,665,444,199,987,280,113,692,295,104,832
"08/11/2019","1220","Census Tract 206031","1230","Census Tract 207400",307,120,786,229,73,722,355,177,712,374,163,856,255,78,828,254,111,576
"08/12/2019","1220","Census Tract 206031","1230","Census Tract 207400",432,173,1078,741,278,1974,495,255,961,383,177,832,275,106,713,328,126,849
"08/13/2019","1220","Census Tract 206031","1230","Census Tract 207400",403,181,897,534,239,1192,548,305,984,366,189,707,288,127,652,315,117,847
"08/14/2019","1220","Census Tract 206031","1230","Census Tract 207400",400,173,925,515,237,1114,578,291,1146,403,183,887,282,123,648,291,129,654
"08/15/2019","1220","Census Tract 206031","1230","Census Tract 207400",407,170,973,509,219,1181,597,272,1310,379,175,819,307,134,702,275,101,752
"08/16/2019","1220","Census Tract 206031","1230","Census Tract 207400",404,189,863,368,173,782,523,239,1148,442,224,874,348,173,700,288,129,641
"08/17/2019","1220","Census Tract 206031","1230","Census Tract 207400",337,140,812,263,76,910,337,159,712,321,143,720,355,140,899,337,139,812
"08/18/2019","1220","Census Tract 206031","1230","Census Tract 207400",322,126,820,289,94,886,336,166,677,337,157,722,317,104,964,307,112,842
"08/19/2019","1220","Census Tract 206031","1230","Census Tract 207400",376,149,947,418,185,945,517,261,1024,361,145,899,258,99,669,301,104,870
"08/20/2019","1220","Census Tract 206031","1230","Census Tract 207400",413,165,1035,491,234,1032,593,255,1382,376,187,757,310,113,849,315,106,934
"08/21/2019","1220","Census Tract 206031","1230","Census Tract 207400",408,155,1075,512,231,1135,612,277,1353,377,144,984,271,105,699,241,99,584
"08/22/2019","1220","Census Tract 206031","1230","Census Tract 207400",430,173,1069,474,240,936,664,276,1601,378,186,767,309,116,819,288,109,764
"08/23/2019","1220","Census Tract 206031","1230","Census Tract 207400",381,169,862,357,147,868,499,239,1044,404,216,755,308,139,681,291,103,825
"08/24/2019","1220","Census Tract 206031","1230","Census Tract 207400",361,148,884,316,91,1089,467,204,1071,428,174,1054,293,137,628,260,107,635
"08/25/2019","1220","Census Tract 206031","1230","Census Tract 207400",312,120,811,308,86,1097,305,140,661,348,119,1014,316,135,743,274,108,693
