"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"10/01/2019","1220","Census Tract 206031","1224","Census Tract 206300",242,101,579,274,105,715,286,121,677,215,93,494,209,87,501,184,95,356
"10/02/2019","1220","Census Tract 206031","1224","Census Tract 206300",216,95,494,236,123,450,256,107,611,215,100,462,181,75,438,172,76,388
"10/03/2019","1220","Census Tract 206031","1224","Census Tract 206300",236,104,539,266,141,502,277,148,517,230,97,545,188,74,476,176,64,477
"10/04/2019","1220","Census Tract 206031","1224","Census Tract 206300",232,97,555,248,114,540,295,133,652,227,101,510,201,81,498,155,63,378
"10/05/2019","1220","Census Tract 206031","1224","Census Tract 206300",185,74,461,248,106,576,182,76,432,203,85,486,182,74,443,152,53,431
"10/06/2019","1220","Census Tract 206031","1224","Census Tract 206300",200,89,449,181,83,394,231,107,499,211,90,495,181,81,401,181,82,395
"10/07/2019","1220","Census Tract 206031","1224","Census Tract 206300",224,98,512,269,143,504,244,118,504,211,88,504,175,78,392,190,70,511
"10/08/2019","1220","Census Tract 206031","1224","Census Tract 206300",226,96,534,249,114,544,277,120,641,208,98,439,179,70,458,177,68,457
"10/09/2019","1220","Census Tract 206031","1224","Census Tract 206300",216,90,518,232,96,556,256,126,522,205,75,559,190,83,435,153,64,364
"10/10/2019","1220","Census Tract 206031","1224","Census Tract 206300",239,114,502,237,121,464,283,135,596,247,114,533,197,100,388,196,85,448
"10/11/2019","1220","Census Tract 206031","1224","Census Tract 206300",215,92,501,248,131,468,250,115,540,221,98,497,181,69,470,170,90,322
"10/12/2019","1220","Census Tract 206031","1224","Census Tract 206300",186,77,450,188,77,456,177,75,419,202,87,470,184,73,464,180,78,415
"10/13/2019","1220","Census Tract 206031","1224","Census Tract 206300",191,76,479,159,71,355,225,93,544,189,84,425,180,62,516,176,68,454
"10/14/2019","1220","Census Tract 206031","1224","Census Tract 206300",209,89,492,233,91,595,231,99,538,241,122,474,169,78,365,174,64,469
"10/15/2019","1220","Census Tract 206031","1224","Census Tract 206300",227,97,531,246,125,482,253,108,593,223,95,526,207,82,520,154,63,372
"10/16/2019","1220","Census Tract 206031","1224","Census Tract 206300",225,104,485,259,138,489,249,123,503,226,101,505,180,80,403,182,80,413
"10/17/2019","1220","Census Tract 206031","1224","Census Tract 206300",227,99,524,270,129,563,270,123,594,224,90,555,172,81,366,206,79,536
"10/18/2019","1220","Census Tract 206031","1224","Census Tract 206300",223,97,515,245,116,513,256,120,547,233,107,510,202,84,489,174,70,429
"10/19/2019","1220","Census Tract 206031","1224","Census Tract 206300",194,89,423,179,81,398,192,88,416,219,103,464,186,84,412,186,87,400
"10/20/2019","1220","Census Tract 206031","1224","Census Tract 206300",180,71,454,208,118,364,186,77,449,195,69,547,167,65,432,174,73,419
"10/21/2019","1220","Census Tract 206031","1224","Census Tract 206300",217,90,521,267,150,476,246,110,553,210,89,494,198,72,542,162,64,408
"10/22/2019","1220","Census Tract 206031","1224","Census Tract 206300",231,102,523,261,130,525,265,122,576,209,101,431,194,77,486,199,79,498
"10/23/2019","1220","Census Tract 206031","1224","Census Tract 206300",241,102,570,274,133,565,290,136,617,227,94,549,199,75,522,168,75,375
"10/24/2019","1220","Census Tract 206031","1224","Census Tract 206300",252,114,555,283,159,503,284,130,620,264,115,605,195,87,434,173,79,377
"10/25/2019","1220","Census Tract 206031","1224","Census Tract 206300",252,109,580,261,111,615,300,130,694,279,117,664,199,90,443,207,114,375
"10/26/2019","1220","Census Tract 206031","1224","Census Tract 206300",209,84,518,297,116,758,218,87,543,221,93,526,197,79,489,188,75,472
"10/27/2019","1220","Census Tract 206031","1224","Census Tract 206300",181,73,445,180,77,421,190,80,448,185,82,417,164,68,397,183,66,502
"10/28/2019","1220","Census Tract 206031","1224","Census Tract 206300",235,99,554,251,122,517,293,141,606,236,96,576,172,66,447,165,72,377
"10/29/2019","1220","Census Tract 206031","1224","Census Tract 206300",241,109,533,291,148,572,271,134,547,234,101,539,189,82,432,173,78,384
"10/30/2019","1220","Census Tract 206031","1224","Census Tract 206300",238,104,544,282,152,524,291,138,613,222,97,507,189,77,464,178,78,407
"10/31/2019","1220","Census Tract 206031","1224","Census Tract 206300",236,102,545,258,148,451,301,136,665,220,84,579,179,77,414,196,94,410
"11/01/2019","1220","Census Tract 206031","1224","Census Tract 206300",252,110,575,306,163,574,305,141,661,280,129,608,198,86,456,198,83,474
"11/02/2019","1220","Census Tract 206031","1224","Census Tract 206300",221,85,573,217,104,452,248,105,583,282,105,758,190,74,482,187,63,549
"11/03/2019","1220","Census Tract 206031","1224","Census Tract 206300",187,72,483,157,57,429,196,83,461,200,76,528,175,66,461,181,71,460
"11/04/2019","1220","Census Tract 206031","1224","Census Tract 206300",236,109,511,260,137,494,287,141,587,212,98,460,166,70,393,205,96,437
"11/05/2019","1220","Census Tract 206031","1224","Census Tract 206300",241,104,557,268,139,519,285,107,756,231,109,487,191,85,426,161,74,352
"11/06/2019","1220","Census Tract 206031","1224","Census Tract 206300",255,110,590,263,137,504,315,155,636,253,98,653,196,87,440,177,61,509
"11/07/2019","1220","Census Tract 206031","1224","Census Tract 206300",260,113,598,272,144,514,334,155,718,235,102,541,205,87,482,201,77,523
"11/08/2019","1220","Census Tract 206031","1224","Census Tract 206300",242,104,563,264,141,497,300,141,641,255,116,562,195,84,451,174,60,500
"11/09/2019","1220","Census Tract 206031","1224","Census Tract 206300",207,88,487,209,91,478,215,94,488,223,98,505,205,86,488,179,73,439
