"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"10/01/2018","1255","Census Tract 209300","1263","Census Tract 210010",57,27,120,54,27,110,116,60,225,53,27,105,52,26,104,37,21,66
"10/02/2018","1255","Census Tract 209300","1263","Census Tract 210010",57,28,117,49,25,96,105,54,206,53,28,99,57,27,118,35,20,61
"10/03/2018","1255","Census Tract 209300","1263","Census Tract 210010",56,28,113,46,26,83,125,64,242,52,28,97,51,27,98,34,20,58
"10/04/2018","1255","Census Tract 209300","1263","Census Tract 210010",70,34,145,93,51,171,106,54,210,76,43,136,56,28,111,41,22,79
"10/05/2018","1255","Census Tract 209300","1263","Census Tract 210010",60,29,124,57,27,118,96,45,207,69,34,139,55,28,105,37,21,63
"10/06/2018","1255","Census Tract 209300","1263","Census Tract 210010",47,25,88,41,22,78,55,31,99,51,27,98,50,27,91,,,
"10/07/2018","1255","Census Tract 209300","1263","Census Tract 210010",44,23,82,40,22,76,50,28,88,47,25,89,46,24,87,38,21,69
"10/08/2018","1255","Census Tract 209300","1263","Census Tract 210010",50,25,97,50,25,100,67,35,127,52,27,100,43,23,78,41,21,78
"10/09/2018","1255","Census Tract 209300","1263","Census Tract 210010",60,28,128,53,26,105,122,57,263,52,28,98,62,29,133,38,21,68
"10/10/2018","1255","Census Tract 209300","1263","Census Tract 210010",62,28,134,58,28,122,143,73,281,60,29,123,50,26,98,40,22,72
"10/11/2018","1255","Census Tract 209300","1263","Census Tract 210010",62,29,133,52,26,102,149,76,293,59,30,115,56,28,109,41,22,77
"10/12/2018","1255","Census Tract 209300","1263","Census Tract 210010",86,36,204,56,27,116,130,63,267,67,33,135,123,47,319,39,21,71
"10/13/2018","1255","Census Tract 209300","1263","Census Tract 210010",60,29,124,50,25,100,58,32,104,49,26,91,85,35,201,,,
"10/14/2018","1255","Census Tract 209300","1263","Census Tract 210010",51,26,101,45,24,83,51,29,90,47,26,86,62,29,134,49,24,100
"10/15/2018","1255","Census Tract 209300","1263","Census Tract 210010",57,27,119,52,26,103,113,55,234,52,27,102,57,28,116,38,21,70
"10/16/2018","1255","Census Tract 209300","1263","Census Tract 210010",60,28,126,51,27,96,131,64,267,53,28,99,58,27,123,37,21,68
"10/17/2018","1255","Census Tract 209300","1263","Census Tract 210010",67,30,147,53,27,102,159,71,357,63,30,131,61,30,124,36,20,62
"10/18/2018","1255","Census Tract 209300","1263","Census Tract 210010",61,29,127,65,29,141,122,62,236,58,30,114,53,28,102,39,21,71
"10/19/2018","1255","Census Tract 209300","1263","Census Tract 210010",65,30,140,57,27,118,135,68,268,69,33,144,56,29,111,37,21,66
"10/20/2018","1255","Census Tract 209300","1263","Census Tract 210010",58,28,118,45,23,87,73,38,140,60,30,119,66,32,139,,,
"10/21/2018","1255","Census Tract 209300","1263","Census Tract 210010",48,25,94,47,23,94,51,28,93,49,26,92,52,26,106,43,22,84
"10/22/2018","1255","Census Tract 209300","1263","Census Tract 210010",62,29,133,52,25,106,97,55,173,58,29,115,76,33,171,38,21,70
"10/23/2018","1255","Census Tract 209300","1263","Census Tract 210010",62,29,133,52,25,104,126,64,248,61,30,123,58,28,121,38,21,70
"10/24/2018","1255","Census Tract 209300","1263","Census Tract 210010",63,29,132,55,28,110,124,64,241,55,29,107,61,29,125,42,22,80
"10/25/2018","1255","Census Tract 209300","1263","Census Tract 210010",66,30,145,51,27,97,151,74,309,64,32,126,64,30,137,36,20,63
"10/26/2018","1255","Census Tract 209300","1263","Census Tract 210010",44,23,83,86,37,198,,,,48,33,67,,,,38,21,67
"10/29/2018","1255","Census Tract 209300","1263","Census Tract 210010",59,29,121,,,,114,62,209,52,27,97,45,24,86,,,
"10/30/2018","1255","Census Tract 209300","1263","Census Tract 210010",55,27,114,51,25,100,131,69,246,55,29,104,45,24,85,34,20,58
"10/31/2018","1255","Census Tract 209300","1263","Census Tract 210010",64,29,139,52,27,101,137,64,292,57,29,111,65,29,144,38,21,70
"11/01/2018","1255","Census Tract 209300","1263","Census Tract 210010",61,28,129,62,29,129,129,67,247,68,33,137,52,27,101,40,21,76
"11/02/2018","1255","Census Tract 209300","1263","Census Tract 210010",63,30,136,54,27,107,147,74,291,62,31,122,57,29,112,43,22,83
"11/03/2018","1255","Census Tract 209300","1263","Census Tract 210010",60,30,122,64,30,140,59,32,108,57,30,111,64,31,130,,,
"11/04/2018","1255","Census Tract 209300","1263","Census Tract 210010",55,27,113,54,25,117,58,33,104,50,26,96,60,28,130,56,27,116
"11/05/2018","1255","Census Tract 209300","1263","Census Tract 210010",60,28,125,49,26,92,130,65,260,57,29,114,55,26,114,39,21,69
"11/06/2018","1255","Census Tract 209300","1263","Census Tract 210010",59,28,126,44,24,80,156,77,315,57,29,112,49,25,94,39,22,71
"11/07/2018","1255","Census Tract 209300","1263","Census Tract 210010",64,29,138,46,24,86,143,71,291,61,31,121,58,28,120,42,23,80
"11/08/2018","1255","Census Tract 209300","1263","Census Tract 210010",61,29,131,51,26,100,158,81,305,61,31,119,49,25,93,37,21,65
"11/09/2018","1255","Census Tract 209300","1263","Census Tract 210010",65,30,141,47,25,87,157,80,310,70,35,142,57,28,117,39,21,70
"11/10/2018","1255","Census Tract 209300","1263","Census Tract 210010",53,27,103,39,22,69,64,37,109,63,31,126,56,29,109,,,
"11/11/2018","1255","Census Tract 209300","1263","Census Tract 210010",54,27,108,40,21,73,79,37,165,52,28,96,67,31,147,41,22,75
"11/12/2018","1255","Census Tract 209300","1263","Census Tract 210010",50,25,98,41,23,74,71,38,132,52,26,100,50,25,99,41,22,78
"11/13/2018","1255","Census Tract 209300","1263","Census Tract 210010",63,29,134,59,30,117,160,82,313,60,31,117,54,26,109,38,21,69
"11/14/2018","1255","Census Tract 209300","1263","Census Tract 210010",68,31,148,51,26,98,153,79,296,68,36,129,62,29,131,48,23,102
"11/15/2018","1255","Census Tract 209300","1263","Census Tract 210010",73,34,155,58,31,106,170,83,349,78,43,141,61,29,126,43,23,81
"11/16/2018","1255","Census Tract 209300","1263","Census Tract 210010",69,30,154,54,27,106,169,81,354,66,33,133,65,29,143,45,22,89
"11/17/2018","1255","Census Tract 209300","1263","Census Tract 210010",51,26,97,46,24,86,61,34,106,57,30,107,47,26,85,,,
"11/18/2018","1255","Census Tract 209300","1263","Census Tract 210010",44,24,82,38,21,67,48,26,87,47,26,88,48,25,95,39,22,69
"11/19/2018","1255","Census Tract 209300","1263","Census Tract 210010",72,32,162,44,24,81,158,82,307,63,32,123,66,30,146,36,21,64
"11/20/2018","1255","Census Tract 209300","1263","Census Tract 210010",59,28,128,45,23,85,136,70,265,61,30,126,50,26,97,38,20,68
"11/21/2018","1255","Census Tract 209300","1263","Census Tract 210010",55,26,113,44,24,83,103,51,206,66,31,139,43,24,78,35,20,61
"11/22/2018","1255","Census Tract 209300","1263","Census Tract 210010",43,22,81,36,19,65,48,24,97,45,23,86,41,22,76,40,21,77
"11/23/2018","1255","Census Tract 209300","1263","Census Tract 210010",47,24,91,41,21,79,49,27,91,53,26,105,49,24,97,34,20,59
"11/24/2018","1255","Census Tract 209300","1263","Census Tract 210010",43,24,78,41,21,77,48,28,84,44,25,76,45,25,82,,,
"11/25/2018","1255","Census Tract 209300","1263","Census Tract 210010",44,23,83,37,20,68,51,28,94,53,26,106,40,23,72,37,20,66
"11/26/2018","1255","Census Tract 209300","1263","Census Tract 210010",57,27,119,55,28,108,132,72,242,53,27,101,49,25,97,35,20,60
"11/27/2018","1255","Census Tract 209300","1263","Census Tract 210010",55,27,111,45,25,81,155,81,298,52,29,93,46,24,86,32,19,53
