"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"01/01/2018","1240","Census Tract 208501","1243","Census Tract 208620",106,46,239,104,39,273,93,43,200,107,49,235,108,46,249,109,48,247
"01/02/2018","1240","Census Tract 208501","1243","Census Tract 208620",95,46,196,95,32,280,96,54,170,100,50,201,84,44,159,93,41,211
"01/03/2018","1240","Census Tract 208501","1243","Census Tract 208620",99,47,204,96,47,192,106,52,215,100,49,204,92,47,179,92,37,228
"01/04/2018","1240","Census Tract 208501","1243","Census Tract 208620",94,47,185,100,48,209,107,59,193,82,43,156,100,47,210,66,37,117
"01/05/2018","1240","Census Tract 208501","1243","Census Tract 208620",101,51,202,98,48,201,110,51,237,106,54,207,89,49,163,100,50,201
"01/06/2018","1240","Census Tract 208501","1243","Census Tract 208620",93,46,187,92,40,211,100,54,185,98,48,199,87,49,152,88,36,216
"01/07/2018","1240","Census Tract 208501","1243","Census Tract 208620",90,44,180,103,51,207,70,44,111,91,44,189,83,49,139,96,41,227
"01/08/2018","1240","Census Tract 208501","1243","Census Tract 208620",100,50,201,109,53,222,115,60,221,100,53,187,85,44,162,77,34,174
"01/09/2018","1240","Census Tract 208501","1243","Census Tract 208620",108,52,221,101,53,194,109,51,231,112,56,225,104,50,215,109,49,242
"01/10/2018","1240","Census Tract 208501","1243","Census Tract 208620",104,50,216,143,59,348,123,60,251,81,42,158,83,45,152,110,52,231
"01/11/2018","1240","Census Tract 208501","1243","Census Tract 208620",103,51,211,127,58,277,115,58,227,87,45,169,86,44,168,117,53,259
"01/12/2018","1240","Census Tract 208501","1243","Census Tract 208620",108,49,236,122,52,286,120,60,238,103,50,213,100,44,227,91,40,210
"01/13/2018","1240","Census Tract 208501","1243","Census Tract 208620",84,41,171,101,45,225,82,46,147,85,39,183,83,45,155,77,33,179
"01/14/2018","1240","Census Tract 208501","1243","Census Tract 208620",87,42,179,115,59,226,75,40,139,98,42,228,83,41,169,79,42,147
"01/15/2018","1240","Census Tract 208501","1243","Census Tract 208620",91,44,187,107,53,215,83,40,173,91,44,190,91,48,173,99,47,206
"01/16/2018","1240","Census Tract 208501","1243","Census Tract 208620",96,46,199,116,53,252,85,47,155,94,43,203,93,48,180,107,41,281
"01/17/2018","1240","Census Tract 208501","1243","Census Tract 208620",95,46,197,80,44,144,107,55,206,100,47,211,85,38,192,86,42,175
"01/18/2018","1240","Census Tract 208501","1243","Census Tract 208620",102,51,201,105,55,199,104,58,186,115,51,261,86,48,153,88,40,191
"01/19/2018","1240","Census Tract 208501","1243","Census Tract 208620",119,55,253,123,49,308,157,80,310,96,49,188,118,57,245,111,55,221
"01/20/2018","1240","Census Tract 208501","1243","Census Tract 208620",95,45,200,91,41,201,92,46,182,95,45,203,101,51,199,88,36,214
"01/21/2018","1240","Census Tract 208501","1243","Census Tract 208620",93,46,186,94,45,196,84,46,152,104,49,219,106,49,228,76,40,141
"01/22/2018","1240","Census Tract 208501","1243","Census Tract 208620",104,52,208,116,49,275,127,62,257,80,46,140,88,48,159,82,47,141
"01/23/2018","1240","Census Tract 208501","1243","Census Tract 208620",97,47,198,92,52,162,105,52,210,103,44,239,88,47,164,87,41,187
"01/24/2018","1240","Census Tract 208501","1243","Census Tract 208620",113,52,242,126,64,247,105,46,236,113,52,247,112,55,228,102,47,224
"01/25/2018","1240","Census Tract 208501","1243","Census Tract 208620",100,49,206,113,53,238,108,54,216,103,48,221,81,42,154,112,52,239
"01/26/2018","1240","Census Tract 208501","1243","Census Tract 208620",100,48,210,105,50,220,116,58,231,107,44,260,86,48,157,82,40,167
"01/27/2018","1240","Census Tract 208501","1243","Census Tract 208620",92,44,191,109,51,233,84,42,167,108,50,230,85,47,154,87,36,210
"01/28/2018","1240","Census Tract 208501","1243","Census Tract 208620",96,44,210,133,45,394,84,45,158,107,50,231,90,41,201,87,39,190
"01/29/2018","1240","Census Tract 208501","1243","Census Tract 208620",110,50,239,114,49,266,101,52,199,124,58,265,90,42,194,123,54,282
"01/30/2018","1240","Census Tract 208501","1243","Census Tract 208620",104,51,213,130,63,269,102,53,197,111,49,254,92,50,168,64,35,116
"01/31/2018","1240","Census Tract 208501","1243","Census Tract 208620",95,48,189,112,56,227,95,46,198,89,46,169,91,47,174,84,42,167
"02/01/2018","1240","Census Tract 208501","1243","Census Tract 208620",106,50,224,132,62,280,111,56,220,108,50,233,89,42,185,84,39,179
"02/02/2018","1240","Census Tract 208501","1243","Census Tract 208620",100,50,201,109,56,212,104,53,205,97,47,201,92,48,174,113,48,266
"02/03/2018","1240","Census Tract 208501","1243","Census Tract 208620",95,46,194,123,62,243,89,42,186,91,45,181,89,44,180,109,49,243
"02/04/2018","1240","Census Tract 208501","1243","Census Tract 208620",101,46,220,97,45,205,86,39,185,116,49,271,103,52,204,86,42,174
"02/05/2018","1240","Census Tract 208501","1243","Census Tract 208620",99,47,207,132,56,307,103,49,213,88,41,185,83,45,153,81,45,146
"02/06/2018","1240","Census Tract 208501","1243","Census Tract 208620",104,45,238,91,36,229,115,57,231,105,41,266,107,50,226,85,43,166
"02/07/2018","1240","Census Tract 208501","1243","Census Tract 208620",99,49,199,117,60,227,92,47,176,92,44,191,99,51,191,105,49,227
"02/08/2018","1240","Census Tract 208501","1243","Census Tract 208620",104,51,214,159,67,375,104,56,194,87,44,170,87,45,169,90,45,180
"02/09/2018","1240","Census Tract 208501","1243","Census Tract 208620",101,51,201,123,58,260,111,60,205,103,49,217,88,48,161,73,39,137
"02/10/2018","1240","Census Tract 208501","1243","Census Tract 208620",96,47,196,101,55,183,113,49,259,106,54,206,80,40,159,83,42,165
"02/11/2018","1240","Census Tract 208501","1243","Census Tract 208620",99,46,213,127,53,299,98,48,200,94,46,192,97,48,197,96,41,227
"02/12/2018","1240","Census Tract 208501","1243","Census Tract 208620",104,52,205,132,67,262,106,59,190,103,51,209,84,46,153,81,36,184
"02/13/2018","1240","Census Tract 208501","1243","Census Tract 208620",109,52,227,132,61,286,119,60,233,112,52,242,81,43,152,91,44,190
"02/14/2018","1240","Census Tract 208501","1243","Census Tract 208620",108,50,232,117,51,267,105,54,203,104,53,203,115,48,276,84,37,189
