"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"01/01/2018","1246","Census Tract 208801","1256","Census Tract 209401",153,57,414,134,49,368,158,57,439,187,63,555,145,59,354,145,54,389
"01/02/2018","1246","Census Tract 208801","1256","Census Tract 209401",156,58,420,114,49,264,197,56,693,190,69,519,129,52,322,118,56,246
"01/03/2018","1246","Census Tract 208801","1256","Census Tract 209401",167,66,421,181,69,478,166,63,439,193,80,463,148,61,362,134,54,329
"01/04/2018","1246","Census Tract 208801","1256","Census Tract 209401",168,61,460,196,83,459,176,60,517,173,57,523,132,62,278,168,48,577
"01/05/2018","1246","Census Tract 208801","1256","Census Tract 209401",146,53,401,166,54,508,162,61,425,147,54,402,136,46,404,93,51,170
"01/06/2018","1246","Census Tract 208801","1256","Census Tract 209401",142,49,407,193,76,488,118,46,306,154,49,480,143,48,431,96,43,214
"01/07/2018","1246","Census Tract 208801","1256","Census Tract 209401",165,59,457,204,85,490,,,,184,72,470,207,45,945,114,51,251
"01/08/2018","1246","Census Tract 208801","1256","Census Tract 209401",173,62,476,207,55,771,214,71,648,158,58,428,129,64,262,127,57,281
"01/09/2018","1246","Census Tract 208801","1256","Census Tract 209401",185,69,493,142,53,379,200,78,510,241,85,684,166,61,448,98,57,168
"01/10/2018","1246","Census Tract 208801","1256","Census Tract 209401",166,59,463,182,54,612,172,62,474,168,65,433,181,75,436,102,35,290
"01/11/2018","1246","Census Tract 208801","1256","Census Tract 209401",158,60,410,147,56,384,200,74,540,173,67,443,117,50,271,122,47,314
"01/12/2018","1246","Census Tract 208801","1256","Census Tract 209401",167,58,486,180,54,601,185,67,505,186,63,551,142,48,423,98,48,199
"01/13/2018","1246","Census Tract 208801","1256","Census Tract 209401",201,69,583,170,59,487,180,67,484,229,70,745,224,81,620,143,54,381
"01/14/2018","1246","Census Tract 208801","1256","Census Tract 209401",170,61,470,151,43,522,,,,208,84,517,176,56,549,157,63,392
"01/15/2018","1246","Census Tract 208801","1256","Census Tract 209401",140,52,372,153,57,411,218,80,588,156,75,325,97,36,261,103,43,248
"01/16/2018","1246","Census Tract 208801","1256","Census Tract 209401",164,55,488,226,92,555,173,42,717,154,50,476,138,60,319,125,55,281
"01/17/2018","1246","Census Tract 208801","1256","Census Tract 209401",150,58,384,134,43,419,260,93,730,159,74,340,93,44,195,86,40,184
"01/18/2018","1246","Census Tract 208801","1256","Census Tract 209401",155,56,423,171,61,475,185,66,513,156,56,437,123,46,330,125,56,278
"01/19/2018","1246","Census Tract 208801","1256","Census Tract 209401",162,62,419,110,43,281,187,86,405,198,68,574,153,60,391,114,53,245
"01/20/2018","1246","Census Tract 208801","1256","Census Tract 209401",170,57,504,184,57,594,216,78,597,198,70,554,148,43,503,133,56,319
"01/21/2018","1246","Census Tract 208801","1256","Census Tract 209401",151,54,419,239,77,740,,,,142,50,402,153,54,433,125,53,293
"01/22/2018","1246","Census Tract 208801","1256","Census Tract 209401",165,60,451,173,51,579,208,87,500,161,62,420,113,48,263,199,58,673
