"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"04/23/2018","1221","Census Tract 206032","1222","Census Tract 206050",111,48,253,137,57,331,153,61,382,107,45,253,84,43,164,108,48,242
"04/24/2018","1221","Census Tract 206032","1222","Census Tract 206050",111,47,260,127,53,302,146,54,396,107,47,247,91,43,191,106,46,244
"04/25/2018","1221","Census Tract 206032","1222","Census Tract 206050",103,45,236,134,56,317,122,49,301,108,47,249,82,39,174,84,40,175
"04/26/2018","1221","Census Tract 206032","1222","Census Tract 206050",117,49,281,138,55,343,142,55,365,120,47,306,100,45,222,103,49,217
"04/27/2018","1221","Census Tract 206032","1222","Census Tract 206050",116,50,270,143,62,331,167,62,446,118,52,267,95,43,211,86,39,190
"04/28/2018","1221","Census Tract 206032","1222","Census Tract 206050",95,44,206,80,46,140,,,,97,44,215,100,42,237,76,42,140
"04/29/2018","1221","Census Tract 206032","1222","Census Tract 206050",83,41,167,78,36,170,79,44,141,85,44,165,86,43,172,83,40,172
"04/30/2018","1221","Census Tract 206032","1222","Census Tract 206050",103,45,236,124,55,276,118,44,314,91,39,208,94,44,198,100,45,220
"05/01/2018","1221","Census Tract 206032","1222","Census Tract 206050",119,49,291,129,47,352,134,46,386,108,48,242,122,58,255,111,44,283
"05/02/2018","1221","Census Tract 206032","1222","Census Tract 206050",107,48,238,114,53,246,113,47,271,112,48,258,99,46,210,98,45,212
"05/03/2018","1221","Census Tract 206032","1222","Census Tract 206050",108,50,234,130,56,301,139,58,334,109,52,230,87,46,164,94,41,215
"05/04/2018","1221","Census Tract 206032","1222","Census Tract 206050",120,51,280,129,55,301,165,67,406,131,57,298,97,42,220,102,44,234
"05/05/2018","1221","Census Tract 206032","1222","Census Tract 206050",94,43,203,85,46,155,,,,108,48,243,99,44,219,75,37,154
"05/06/2018","1221","Census Tract 206032","1222","Census Tract 206050",95,47,193,70,36,136,104,51,209,99,49,197,110,50,241,88,45,174
"05/07/2018","1221","Census Tract 206032","1222","Census Tract 206050",110,49,247,109,51,229,127,57,281,116,45,299,111,50,246,89,46,170
"05/08/2018","1221","Census Tract 206032","1222","Census Tract 206050",108,47,247,119,56,250,143,44,468,105,49,225,94,42,211,103,48,219
"05/09/2018","1221","Census Tract 206032","1222","Census Tract 206050",104,47,232,107,54,211,144,49,421,103,46,232,95,46,197,78,42,146
"05/10/2018","1221","Census Tract 206032","1222","Census Tract 206050",112,47,264,119,54,262,163,58,451,112,51,245,90,38,213,93,42,205
"05/11/2018","1221","Census Tract 206032","1222","Census Tract 206050",112,51,243,129,56,295,131,57,301,123,54,276,102,50,206,86,41,178
"05/12/2018","1221","Census Tract 206032","1222","Census Tract 206050",87,41,186,93,46,185,,,,95,45,202,84,37,188,81,40,163
"05/13/2018","1221","Census Tract 206032","1222","Census Tract 206050",90,43,189,82,40,170,91,44,189,101,49,207,90,43,185,86,40,183
"05/14/2018","1221","Census Tract 206032","1222","Census Tract 206050",97,44,214,102,52,203,115,47,279,106,48,234,87,37,206,80,42,152
"05/15/2018","1221","Census Tract 206032","1222","Census Tract 206050",101,45,222,117,53,257,108,44,263,100,46,217,87,40,188,98,46,205
"05/16/2018","1221","Census Tract 206032","1222","Census Tract 206050",107,49,232,108,49,237,143,57,357,110,50,241,91,46,179,93,45,189
"05/17/2018","1221","Census Tract 206032","1222","Census Tract 206050",114,50,258,124,53,291,172,64,459,108,50,233,100,46,216,86,44,170
"05/18/2018","1221","Census Tract 206032","1222","Census Tract 206050",111,48,257,117,55,247,177,60,515,115,49,269,97,43,215,74,38,144
"05/19/2018","1221","Census Tract 206032","1222","Census Tract 206050",88,43,181,76,43,136,,,,88,47,166,103,45,236,74,37,148
"05/20/2018","1221","Census Tract 206032","1222","Census Tract 206050",79,40,154,84,38,187,75,39,144,81,44,149,87,45,167,72,36,144
"05/21/2018","1221","Census Tract 206032","1222","Census Tract 206050",99,45,218,135,57,320,109,41,284,90,41,199,80,45,143,94,46,194
"05/22/2018","1221","Census Tract 206032","1222","Census Tract 206050",94,45,196,100,49,201,122,52,286,90,41,196,81,41,157,91,47,174
"05/23/2018","1221","Census Tract 206032","1222","Census Tract 206050",97,42,220,98,49,198,147,55,390,93,38,226,85,40,178,84,38,184
"05/24/2018","1221","Census Tract 206032","1222","Census Tract 206050",101,46,224,130,56,298,112,44,282,101,47,217,89,44,181,79,36,172
"05/25/2018","1221","Census Tract 206032","1222","Census Tract 206050",113,48,264,118,47,298,184,70,482,109,49,246,92,42,199,96,44,207
"05/26/2018","1221","Census Tract 206032","1222","Census Tract 206050",81,40,162,85,40,178,,,,76,42,137,89,42,191,72,37,139
"05/27/2018","1221","Census Tract 206032","1222","Census Tract 206050",82,41,164,71,40,124,92,42,203,80,40,161,82,38,178,81,44,150
"05/28/2018","1221","Census Tract 206032","1222","Census Tract 206050",82,41,165,96,46,196,89,44,179,88,41,192,75,40,144,76,39,150
"05/29/2018","1221","Census Tract 206032","1222","Census Tract 206050",105,46,239,110,51,238,125,49,320,103,47,224,90,44,184,106,41,273
"05/30/2018","1221","Census Tract 206032","1222","Census Tract 206050",106,48,232,110,53,227,117,47,288,110,47,260,96,48,190,96,44,206
"05/31/2018","1221","Census Tract 206032","1222","Census Tract 206050",102,47,222,105,52,212,171,61,479,92,44,192,81,39,170,92,49,169
"06/01/2018","1221","Census Tract 206032","1222","Census Tract 206050",106,48,234,125,55,285,153,56,414,113,51,247,87,42,179,73,40,135
"06/02/2018","1221","Census Tract 206032","1222","Census Tract 206050",90,44,186,99,50,197,,,,92,46,181,94,45,198,79,42,147
"06/03/2018","1221","Census Tract 206032","1222","Census Tract 206050",83,42,163,71,43,118,94,48,185,92,41,204,81,44,150,77,40,147
"06/04/2018","1221","Census Tract 206032","1222","Census Tract 206050",92,44,190,107,55,210,93,38,227,98,46,208,77,43,139,83,39,176
"06/05/2018","1221","Census Tract 206032","1222","Census Tract 206050",114,51,257,131,58,296,142,57,352,112,49,253,93,46,190,104,48,226
"06/06/2018","1221","Census Tract 206032","1222","Census Tract 206050",100,45,222,110,55,223,120,46,314,99,46,215,88,38,204,91,44,189
"06/07/2018","1221","Census Tract 206032","1222","Census Tract 206050",110,49,246,86,47,159,144,56,366,117,53,256,108,45,261,95,47,189
"06/08/2018","1221","Census Tract 206032","1222","Census Tract 206050",124,53,288,109,51,232,215,70,659,114,55,237,102,44,236,110,54,225
"06/09/2018","1221","Census Tract 206032","1222","Census Tract 206050",111,46,265,126,54,293,,,,98,51,192,95,39,229,175,55,556
"06/10/2018","1221","Census Tract 206032","1222","Census Tract 206050",89,44,180,90,46,175,87,40,189,99,49,201,84,41,172,86,44,170
"06/11/2018","1221","Census Tract 206032","1222","Census Tract 206050",98,47,204,115,54,244,130,53,318,103,47,225,82,46,144,77,40,150
"06/12/2018","1221","Census Tract 206032","1222","Census Tract 206050",111,50,244,117,53,254,141,61,323,117,52,262,93,45,190,104,45,239
"06/13/2018","1221","Census Tract 206032","1222","Census Tract 206050",107,49,231,120,54,267,131,53,327,111,53,230,97,52,184,87,37,200
