"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"10/01/2018","1252","Census Tract 209103","1251","Census Tract 209102",88,33,235,109,38,310,111,46,267,81,28,232,66,31,139,57,21,156
"10/02/2018","1252","Census Tract 209103","1251","Census Tract 209102",82,35,191,,,,88,44,176,92,39,214,64,31,132,37,16,86
"10/03/2018","1252","Census Tract 209103","1251","Census Tract 209102",82,33,204,99,34,285,85,41,176,97,39,241,59,25,141,61,23,160
"10/04/2018","1252","Census Tract 209103","1251","Census Tract 209102",85,33,221,94,37,239,96,45,202,86,31,237,68,26,180,71,25,202
"10/05/2018","1252","Census Tract 209103","1251","Census Tract 209102",85,33,216,103,43,247,86,30,242,87,38,198,73,30,180,72,25,205
"10/06/2018","1252","Census Tract 209103","1251","Census Tract 209102",64,25,163,76,23,252,66,25,170,66,25,173,61,25,147,52,23,116
"10/07/2018","1252","Census Tract 209103","1251","Census Tract 209102",66,25,174,78,29,211,61,25,145,74,28,192,76,26,216,45,18,114
"10/08/2018","1252","Census Tract 209103","1251","Census Tract 209102",78,30,202,85,33,216,77,33,181,73,29,184,85,30,240,73,27,198
"10/09/2018","1252","Census Tract 209103","1251","Census Tract 209102",85,32,222,,,,96,39,233,80,34,186,72,30,171,67,26,171
"10/10/2018","1252","Census Tract 209103","1251","Census Tract 209102",87,34,220,103,42,250,102,43,239,92,39,215,64,23,173,48,21,108
"10/11/2018","1252","Census Tract 209103","1251","Census Tract 209102",89,31,255,93,39,221,121,47,313,86,31,237,60,20,180,52,15,172
"10/12/2018","1252","Census Tract 209103","1251","Census Tract 209102",88,34,225,91,43,193,103,40,267,76,31,183,97,36,263,59,25,141
"10/13/2018","1252","Census Tract 209103","1251","Census Tract 209102",77,30,199,101,41,252,76,33,174,57,21,148,82,32,206,80,28,228
"10/14/2018","1252","Census Tract 209103","1251","Census Tract 209102",72,26,200,67,26,174,78,25,241,86,30,245,56,25,126,68,23,197
"10/15/2018","1252","Census Tract 209103","1251","Census Tract 209102",84,31,223,81,31,211,127,57,286,72,30,172,63,29,132,62,16,241
"10/16/2018","1252","Census Tract 209103","1251","Census Tract 209102",80,30,210,,,,101,42,243,86,32,234,68,29,160,41,18,91
"10/17/2018","1252","Census Tract 209103","1251","Census Tract 209102",91,35,234,101,38,264,118,53,264,81,33,200,75,29,191,60,23,156
"10/18/2018","1252","Census Tract 209103","1251","Census Tract 209102",89,34,230,100,36,275,109,49,244,72,31,170,79,29,216,80,29,219
