"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"01/01/2018","1253","Census Tract 209104","1251","Census Tract 209102",102,40,264,98,31,314,136,38,482,95,34,266,104,53,203,98,43,223
"01/02/2018","1253","Census Tract 209104","1251","Census Tract 209102",96,39,235,64,39,104,120,56,255,87,34,223,125,38,412,108,56,210
"01/03/2018","1253","Census Tract 209104","1251","Census Tract 209102",100,43,231,70,33,145,134,51,354,108,53,218,105,42,258,50,27,91
"01/04/2018","1253","Census Tract 209104","1251","Census Tract 209102",101,46,219,114,56,232,111,64,192,102,45,231,83,32,217,77,42,140
"01/05/2018","1253","Census Tract 209104","1251","Census Tract 209102",95,44,203,87,48,157,109,57,210,111,58,215,88,39,201,55,23,129
"01/06/2018","1253","Census Tract 209104","1251","Census Tract 209102",90,41,194,111,46,263,107,46,248,95,44,204,82,43,157,59,28,125
"01/07/2018","1253","Census Tract 209104","1251","Census Tract 209102",98,38,252,82,16,413,104,35,309,90,38,209,119,53,267,86,40,184
"01/08/2018","1253","Census Tract 209104","1251","Census Tract 209102",128,53,306,102,48,216,183,82,404,126,48,327,80,40,160,139,51,379
"01/09/2018","1253","Census Tract 209104","1251","Census Tract 209102",109,48,250,100,54,183,124,57,267,126,48,328,89,40,200,80,30,212
"01/10/2018","1253","Census Tract 209104","1251","Census Tract 209102",127,54,298,90,46,175,216,87,531,117,60,227,101,45,223,126,39,406
"01/11/2018","1253","Census Tract 209104","1251","Census Tract 209102",101,39,257,106,50,225,103,35,297,116,43,314,82,34,196,90,35,229
"01/12/2018","1253","Census Tract 209104","1251","Census Tract 209102",108,46,254,94,49,178,176,67,460,83,36,188,91,39,212,92,40,215
"01/13/2018","1253","Census Tract 209104","1251","Census Tract 209102",103,42,253,133,48,365,105,38,289,100,42,235,101,46,223,86,33,223
"01/14/2018","1253","Census Tract 209104","1251","Census Tract 209102",89,36,218,90,39,206,145,58,364,75,31,179,89,35,225,75,31,178
