"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"10/01/2018","1258","Census Tract 209403","1260","Census Tract 209520",113,51,251,82,30,221,140,72,270,118,54,256,112,55,226,103,54,195
"10/02/2018","1258","Census Tract 209403","1260","Census Tract 209520",100,41,242,88,29,263,116,50,267,93,45,189,91,32,257,136,68,272
"10/03/2018","1258","Census Tract 209403","1260","Census Tract 209520",106,47,238,97,45,208,116,53,258,115,56,237,88,33,230,97,58,164
"10/04/2018","1258","Census Tract 209403","1260","Census Tract 209520",109,44,268,123,38,396,118,44,316,,,,97,42,223,120,52,277
"10/05/2018","1258","Census Tract 209403","1260","Census Tract 209520",107,47,243,104,40,271,101,43,234,107,49,233,118,52,267,,,
"10/06/2018","1258","Census Tract 209403","1260","Census Tract 209520",104,47,232,111,38,322,101,49,208,109,54,219,95,49,186,106,37,298
"10/07/2018","1258","Census Tract 209403","1260","Census Tract 209520",104,46,238,134,63,284,99,51,191,108,46,253,88,39,198,98,41,233
"10/08/2018","1258","Census Tract 209403","1260","Census Tract 209520",123,55,271,137,56,333,113,57,223,133,61,291,101,48,212,119,50,283
"10/09/2018","1258","Census Tract 209403","1260","Census Tract 209520",101,46,223,98,43,224,112,57,222,101,48,214,90,34,233,101,59,173
"10/10/2018","1258","Census Tract 209403","1260","Census Tract 209520",108,45,262,123,41,370,106,43,262,109,47,249,100,48,206,100,49,204
