"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"01/01/2018","1241","Census Tract 208502","1247","Census Tract 208802",98,26,367,77,18,325,64,25,162,104,24,450,106,34,329,101,26,392
"01/02/2018","1241","Census Tract 208502","1247","Census Tract 208802",98,29,328,127,49,331,103,26,406,85,28,255,106,29,390,73,24,217
"01/03/2018","1241","Census Tract 208502","1247","Census Tract 208802",98,29,335,116,37,361,115,30,444,101,28,364,90,28,284,66,23,189
"01/04/2018","1241","Census Tract 208502","1247","Census Tract 208802",103,28,376,119,32,447,92,25,333,123,31,477,97,30,313,55,19,160
"01/05/2018","1241","Census Tract 208502","1247","Census Tract 208802",114,33,394,125,33,475,109,31,376,130,39,434,108,30,386,73,27,195
"01/06/2018","1241","Census Tract 208502","1247","Census Tract 208802",84,23,297,113,37,345,104,29,377,100,25,401,56,17,178,65,21,197
"01/07/2018","1241","Census Tract 208502","1247","Census Tract 208802",92,26,325,61,13,268,73,25,207,92,28,304,139,39,487,,,
"01/08/2018","1241","Census Tract 208502","1247","Census Tract 208802",106,27,404,97,28,334,143,34,592,108,27,434,81,22,304,98,29,324
"01/09/2018","1241","Census Tract 208502","1247","Census Tract 208802",110,31,391,120,35,404,91,22,372,108,35,328,99,27,357,152,39,592
"01/10/2018","1241","Census Tract 208502","1247","Census Tract 208802",115,29,448,119,31,451,106,27,409,126,34,461,112,27,460,113,30,430
"01/11/2018","1241","Census Tract 208502","1247","Census Tract 208802",97,25,366,137,42,442,94,24,370,105,28,391,70,17,285,78,25,237
"01/12/2018","1241","Census Tract 208502","1247","Census Tract 208802",114,33,393,133,42,419,123,33,461,117,35,390,103,32,323,99,24,396
"01/13/2018","1241","Census Tract 208502","1247","Census Tract 208802",91,25,321,138,33,573,102,25,409,94,28,312,65,20,212,93,27,317
"01/14/2018","1241","Census Tract 208502","1247","Census Tract 208802",93,27,324,110,37,329,97,30,312,108,31,368,74,22,250,,,
"01/15/2018","1241","Census Tract 208502","1247","Census Tract 208802",82,23,284,113,33,392,86,25,293,80,25,260,75,21,266,61,17,219
"01/16/2018","1241","Census Tract 208502","1247","Census Tract 208802",104,28,387,116,33,407,87,23,325,119,28,499,101,28,359,89,28,278
"01/17/2018","1241","Census Tract 208502","1247","Census Tract 208802",104,30,353,126,40,391,117,33,412,93,25,350,75,28,196,138,39,487
"01/18/2018","1241","Census Tract 208502","1247","Census Tract 208802",99,28,350,137,32,575,116,32,417,96,28,330,81,26,253,80,22,279
"01/19/2018","1241","Census Tract 208502","1247","Census Tract 208802",106,29,381,95,28,317,116,35,383,124,33,462,105,27,406,51,18,143
"01/20/2018","1241","Census Tract 208502","1247","Census Tract 208802",80,21,299,95,26,339,109,31,383,78,17,339,75,20,280,57,19,171
"01/21/2018","1241","Census Tract 208502","1247","Census Tract 208802",87,23,332,101,25,412,97,27,345,94,25,348,87,24,311,,,
"01/22/2018","1241","Census Tract 208502","1247","Census Tract 208802",112,32,391,156,49,493,110,31,389,106,31,363,99,28,354,62,19,198
"01/23/2018","1241","Census Tract 208502","1247","Census Tract 208802",101,28,360,97,30,309,125,35,447,101,28,354,87,22,338,93,26,336
"01/24/2018","1241","Census Tract 208502","1247","Census Tract 208802",108,30,384,182,59,560,88,23,339,104,32,333,67,21,215,146,36,585
"01/25/2018","1241","Census Tract 208502","1247","Census Tract 208802",101,28,363,119,36,395,110,34,358,105,29,377,88,21,371,68,21,223
"01/26/2018","1241","Census Tract 208502","1247","Census Tract 208802",110,29,418,151,40,572,149,43,513,87,23,329,94,25,347,87,24,313
"01/27/2018","1241","Census Tract 208502","1247","Census Tract 208802",91,24,340,140,49,404,79,20,313,112,28,441,83,22,303,64,19,210
"01/28/2018","1241","Census Tract 208502","1247","Census Tract 208802",90,24,332,108,28,419,120,29,488,90,25,320,71,23,215,,,
"01/29/2018","1241","Census Tract 208502","1247","Census Tract 208802",117,34,399,130,39,428,77,24,241,137,36,512,108,33,351,120,39,365
"01/30/2018","1241","Census Tract 208502","1247","Census Tract 208802",102,29,350,118,36,387,98,28,334,102,28,365,104,28,382,77,25,229
"01/31/2018","1241","Census Tract 208502","1247","Census Tract 208802",99,28,346,131,43,394,109,32,369,86,23,319,88,29,266,87,21,351
"02/01/2018","1241","Census Tract 208502","1247","Census Tract 208802",100,26,382,133,26,676,122,32,457,106,29,389,65,22,188,60,17,202
"02/02/2018","1241","Census Tract 208502","1247","Census Tract 208802",117,29,471,121,34,429,143,34,594,136,29,619,98,26,366,67,21,215
"02/03/2018","1241","Census Tract 208502","1247","Census Tract 208802",106,27,415,122,33,449,109,25,477,108,28,418,101,26,396,95,25,355
"02/04/2018","1241","Census Tract 208502","1247","Census Tract 208802",78,22,271,96,32,285,74,21,263,89,26,306,81,21,305,,,
"02/05/2018","1241","Census Tract 208502","1247","Census Tract 208802",116,34,387,148,43,500,142,41,485,83,25,276,101,29,348,90,38,213
"02/06/2018","1241","Census Tract 208502","1247","Census Tract 208802",113,29,432,112,26,481,118,35,395,112,31,397,114,27,474,102,26,391
"02/07/2018","1241","Census Tract 208502","1247","Census Tract 208802",113,31,410,119,34,412,132,36,478,112,29,430,99,28,348,97,28,330
"02/08/2018","1241","Census Tract 208502","1247","Census Tract 208802",112,31,395,136,36,511,130,36,465,119,33,422,84,24,295,82,31,212
"02/09/2018","1241","Census Tract 208502","1247","Census Tract 208802",110,30,402,205,49,856,133,39,451,100,28,355,74,22,246,74,22,250
"02/10/2018","1241","Census Tract 208502","1247","Census Tract 208802",95,25,356,89,25,319,92,24,339,122,32,459,77,21,283,90,24,338
"02/11/2018","1241","Census Tract 208502","1247","Census Tract 208802",81,24,268,86,33,221,86,29,254,75,22,254,90,30,272,,,
"02/12/2018","1241","Census Tract 208502","1247","Census Tract 208802",98,28,338,107,30,380,136,45,413,91,28,297,79,23,273,77,20,294
"02/13/2018","1241","Census Tract 208502","1247","Census Tract 208802",99,26,373,120,31,457,124,30,504,95,28,323,60,17,212,92,27,309
"02/14/2018","1241","Census Tract 208502","1247","Census Tract 208802",112,27,463,115,31,420,133,31,561,99,21,453,109,26,447,103,29,358
