"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"08/29/2018","1247","Census Tract 208802","1256","Census Tract 209401",149,49,449,155,49,484,142,54,371,188,55,640,111,40,311,84,29,238
"08/30/2018","1247","Census Tract 208802","1256","Census Tract 209401",135,48,378,154,54,439,147,46,463,113,49,260,142,45,450,123,48,318
"08/31/2018","1247","Census Tract 208802","1256","Census Tract 209401",147,49,439,170,59,488,134,56,322,173,58,515,114,32,397,90,33,240
"09/01/2018","1247","Census Tract 208802","1256","Census Tract 209401",141,51,388,149,53,417,155,55,439,190,77,466,99,38,258,116,36,368
"09/02/2018","1247","Census Tract 208802","1256","Census Tract 209401",153,52,453,149,68,323,154,50,474,139,56,346,188,62,568,142,41,484
"09/03/2018","1247","Census Tract 208802","1256","Census Tract 209401",149,55,403,131,70,245,150,41,547,158,71,350,139,44,438,163,65,410
"09/04/2018","1247","Census Tract 208802","1256","Census Tract 209401",151,57,401,175,62,488,127,57,281,150,57,396,127,47,344,158,50,500
"09/05/2018","1247","Census Tract 208802","1256","Census Tract 209401",157,57,433,193,67,558,159,61,411,146,55,387,143,45,452,129,55,302
"09/06/2018","1247","Census Tract 208802","1256","Census Tract 209401",127,44,362,187,69,506,82,32,208,128,48,340,106,37,303,97,30,317
"09/07/2018","1247","Census Tract 208802","1256","Census Tract 209401",157,59,418,138,51,370,181,69,474,155,51,466,148,65,332,154,100,237
"09/08/2018","1247","Census Tract 208802","1256","Census Tract 209401",137,47,397,122,44,336,140,55,356,147,59,364,146,42,504,113,35,363
"09/09/2018","1247","Census Tract 208802","1256","Census Tract 209401",206,57,744,91,32,251,145,49,423,324,86,1216,97,38,249,131,36,471
"09/10/2018","1247","Census Tract 208802","1256","Census Tract 209401",138,55,346,142,58,349,135,60,303,170,69,422,125,46,338,97,36,260
"09/11/2018","1247","Census Tract 208802","1256","Census Tract 209401",138,46,416,161,55,467,161,47,550,136,44,422,99,45,220,120,32,440
"09/12/2018","1247","Census Tract 208802","1256","Census Tract 209401",139,50,387,191,64,565,153,50,462,131,52,332,98,37,255,144,58,359
"09/13/2018","1247","Census Tract 208802","1256","Census Tract 209401",151,51,441,146,49,434,191,70,516,166,62,444,72,34,153,163,31,843
"09/14/2018","1247","Census Tract 208802","1256","Census Tract 209401",158,52,478,166,43,632,161,68,384,176,56,549,143,48,424,108,38,300
"09/15/2018","1247","Census Tract 208802","1256","Census Tract 209401",172,59,502,246,86,703,168,43,658,162,64,410,170,57,504,150,59,380
"09/16/2018","1247","Census Tract 208802","1256","Census Tract 209401",146,55,385,121,51,285,189,49,719,145,66,320,149,69,322,128,45,364
"09/17/2018","1247","Census Tract 208802","1256","Census Tract 209401",136,44,417,156,51,478,154,60,390,124,37,418,115,36,367,124,42,368
"09/18/2018","1247","Census Tract 208802","1256","Census Tract 209401",149,51,439,159,58,438,130,50,336,158,54,462,176,58,537,59,16,211
"09/19/2018","1247","Census Tract 208802","1256","Census Tract 209401",144,56,368,129,50,333,143,57,362,168,79,358,108,38,306,150,53,428
"09/20/2018","1247","Census Tract 208802","1256","Census Tract 209401",163,53,496,157,61,402,178,61,522,163,48,546,105,35,307,216,60,778
"09/21/2018","1247","Census Tract 208802","1256","Census Tract 209401",152,51,452,179,51,627,211,71,625,130,48,353,107,37,312,110,38,318
"09/22/2018","1247","Census Tract 208802","1256","Census Tract 209401",126,45,352,138,50,379,136,46,400,128,45,368,108,42,273,129,45,367
"09/23/2018","1247","Census Tract 208802","1256","Census Tract 209401",129,44,378,122,49,300,145,46,457,138,55,349,112,33,376,121,41,353
"09/24/2018","1247","Census Tract 208802","1256","Census Tract 209401",124,49,310,110,48,251,109,41,285,133,50,352,158,66,381,90,38,210
"09/25/2018","1247","Census Tract 208802","1256","Census Tract 209401",146,55,384,182,62,532,131,55,311,142,51,395,126,52,308,124,55,276
"09/26/2018","1247","Census Tract 208802","1256","Census Tract 209401",126,43,365,113,49,259,109,35,334,171,54,541,116,50,270,91,28,294
"09/27/2018","1247","Census Tract 208802","1256","Census Tract 209401",151,48,473,173,58,508,140,47,412,130,44,382,225,56,893,99,33,299
"09/28/2018","1247","Census Tract 208802","1256","Census Tract 209401",147,53,403,156,56,433,147,71,304,150,52,434,127,45,358,151,49,464
"09/29/2018","1247","Census Tract 208802","1256","Census Tract 209401",157,48,505,133,53,335,167,55,511,176,66,469,121,29,500,170,56,517
"09/30/2018","1247","Census Tract 208802","1256","Census Tract 209401",214,57,795,180,48,673,246,70,860,265,71,989,117,36,376,169,45,639
"07/01/2018","1247","Census Tract 208802","1256","Census Tract 209401",135,47,385,121,45,324,123,51,296,129,45,368,149,57,384,141,40,485
"07/02/2018","1247","Census Tract 208802","1256","Census Tract 209401",134,47,381,124,54,287,118,49,284,147,51,420,187,44,789,102,37,283
"07/03/2018","1247","Census Tract 208802","1256","Census Tract 209401",155,55,433,166,61,453,169,64,442,165,68,404,107,42,274,116,22,592
"07/04/2018","1247","Census Tract 208802","1256","Census Tract 209401",137,43,432,129,64,259,118,49,281,104,27,388,168,58,489,150,40,559
"07/05/2018","1247","Census Tract 208802","1256","Census Tract 209401",144,52,396,196,72,535,126,39,399,147,51,423,105,48,230,109,43,271
"07/06/2018","1247","Census Tract 208802","1256","Census Tract 209401",132,55,312,106,51,217,132,58,303,136,52,352,133,58,302,158,80,311
"07/07/2018","1247","Census Tract 208802","1256","Census Tract 209401",155,52,463,108,47,247,267,61,1170,167,71,389,129,47,354,103,34,314
"07/08/2018","1247","Census Tract 208802","1256","Census Tract 209401",119,38,376,116,48,278,100,49,202,174,63,475,89,41,192,85,19,383
"07/09/2018","1247","Census Tract 208802","1256","Census Tract 209401",142,48,420,141,44,446,135,59,307,166,64,427,125,41,380,109,24,477
"07/10/2018","1247","Census Tract 208802","1256","Census Tract 209401",116,44,301,90,40,202,105,53,208,136,46,403,117,39,349,88,42,187
"07/11/2018","1247","Census Tract 208802","1256","Census Tract 209401",149,62,361,138,58,328,118,49,281,182,83,400,112,42,297,195,100,377
"07/12/2018","1247","Census Tract 208802","1256","Census Tract 209401",134,53,335,207,87,490,112,51,243,166,64,433,80,36,179,107,39,293
"07/13/2018","1247","Census Tract 208802","1256","Census Tract 209401",178,63,501,142,59,340,179,73,433,243,82,720,102,39,267,120,38,375
"07/14/2018","1247","Census Tract 208802","1256","Census Tract 209401",148,49,446,125,43,356,213,83,543,138,43,442,135,43,425,126,47,338
"07/15/2018","1247","Census Tract 208802","1256","Census Tract 209401",146,40,532,188,42,839,188,83,428,124,31,494,153,49,480,141,35,556
"07/16/2018","1247","Census Tract 208802","1256","Census Tract 209401",149,58,381,147,58,372,152,62,370,173,64,467,120,52,278,125,49,321
