"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"01/01/2018","1257","Census Tract 209402","1260","Census Tract 209520",124,46,333,109,44,268,126,56,283,124,58,261,142,49,411,122,41,366
"01/02/2018","1257","Census Tract 209402","1260","Census Tract 209520",137,55,338,125,52,297,175,80,382,173,72,412,86,33,221,84,39,183
"01/03/2018","1257","Census Tract 209402","1260","Census Tract 209520",132,55,315,114,48,268,148,65,338,143,58,355,121,50,291,99,51,194
"01/04/2018","1257","Census Tract 209402","1260","Census Tract 209520",124,47,325,107,35,324,157,76,327,131,46,366,89,35,223,100,57,176
"01/05/2018","1257","Census Tract 209402","1260","Census Tract 209520",143,56,362,89,41,189,180,80,401,156,59,415,130,49,345,102,43,241
"01/06/2018","1257","Census Tract 209402","1260","Census Tract 209520",137,48,392,118,51,271,137,46,409,149,52,430,149,53,415,115,38,346
"01/07/2018","1257","Census Tract 209402","1260","Census Tract 209520",131,54,320,156,76,318,134,55,323,151,75,304,112,44,285,128,52,313
"01/08/2018","1257","Census Tract 209402","1260","Census Tract 209520",153,57,407,147,55,394,192,80,458,154,65,368,86,22,332,141,80,246
"01/09/2018","1257","Census Tract 209402","1260","Census Tract 209520",152,66,348,186,71,488,156,76,318,146,69,308,144,57,365,115,57,232
"01/10/2018","1257","Census Tract 209402","1260","Census Tract 209520",147,57,379,140,45,429,202,84,483,152,75,310,93,39,220,126,44,361
"01/11/2018","1257","Census Tract 209402","1260","Census Tract 209520",135,56,321,169,76,373,136,66,282,121,43,336,132,55,316,114,58,221
"01/12/2018","1257","Census Tract 209402","1260","Census Tract 209520",134,49,364,110,46,261,161,68,379,172,57,515,95,40,220,98,29,328
"01/13/2018","1257","Census Tract 209402","1260","Census Tract 209520",127,50,322,164,76,355,134,58,308,156,54,453,99,43,228,91,37,223
"01/14/2018","1257","Census Tract 209402","1260","Census Tract 209520",112,43,289,105,58,190,130,56,300,115,39,333,98,37,256,116,45,294
"01/15/2018","1257","Census Tract 209402","1260","Census Tract 209520",124,53,287,168,93,305,136,61,302,118,56,249,103,41,254,108,42,275
"01/16/2018","1257","Census Tract 209402","1260","Census Tract 209520",150,62,365,152,47,491,157,77,318,135,58,313,172,81,366,133,52,338
"01/17/2018","1257","Census Tract 209402","1260","Census Tract 209520",128,57,286,141,64,310,136,63,293,131,55,314,124,57,268,76,40,145
"01/18/2018","1257","Census Tract 209402","1260","Census Tract 209520",142,63,318,142,57,354,173,88,342,123,57,266,139,58,332,108,55,214
"01/19/2018","1257","Census Tract 209402","1260","Census Tract 209520",132,53,331,148,63,346,157,72,342,133,51,349,106,41,274,140,57,341
"01/20/2018","1257","Census Tract 209402","1260","Census Tract 209520",127,49,323,126,57,277,127,53,303,161,53,481,109,45,261,103,44,242
"01/21/2018","1257","Census Tract 209402","1260","Census Tract 209520",149,61,365,125,64,242,129,41,407,163,87,306,200,83,483,98,43,225
"01/22/2018","1257","Census Tract 209402","1260","Census Tract 209520",148,64,341,144,68,307,152,73,318,140,69,281,153,58,401,159,53,474
"01/23/2018","1257","Census Tract 209402","1260","Census Tract 209520",132,58,300,126,57,277,152,67,343,138,61,312,123,51,298,106,55,203
"01/24/2018","1257","Census Tract 209402","1260","Census Tract 209520",135,61,299,122,50,296,175,92,331,153,60,386,108,56,209,110,57,211
