"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"08/29/2018","1246","Census Tract 208801","1247","Census Tract 208802",50,24,104,52,23,117,58,28,119,51,24,108,45,23,85,41,20,86
"08/30/2018","1246","Census Tract 208801","1247","Census Tract 208802",51,23,114,55,23,129,50,25,101,58,25,136,50,23,106,38,16,90
"08/31/2018","1246","Census Tract 208801","1247","Census Tract 208802",50,22,113,47,20,111,49,25,97,59,25,142,,,,43,20,89
"09/01/2018","1246","Census Tract 208801","1247","Census Tract 208802",51,23,114,63,29,135,46,22,96,68,29,160,45,22,94,40,18,87
"09/02/2018","1246","Census Tract 208801","1247","Census Tract 208802",47,22,100,47,19,116,48,24,99,54,25,118,43,20,90,42,21,82
"09/03/2018","1246","Census Tract 208801","1247","Census Tract 208802",49,22,110,,,,41,20,82,66,27,157,48,23,99,38,16,90
"09/04/2018","1246","Census Tract 208801","1247","Census Tract 208802",51,22,119,60,24,147,54,26,110,49,21,112,44,20,99,53,20,143
"09/05/2018","1246","Census Tract 208801","1247","Census Tract 208802",53,25,114,42,19,91,63,29,133,62,28,139,43,22,85,56,25,125
"09/06/2018","1246","Census Tract 208801","1247","Census Tract 208802",50,22,114,52,22,119,55,25,119,60,26,141,42,20,87,36,14,88
"09/07/2018","1246","Census Tract 208801","1247","Census Tract 208802",54,24,120,62,26,146,56,26,122,62,27,139,,,,44,19,102
"09/08/2018","1246","Census Tract 208801","1247","Census Tract 208802",52,23,116,58,24,140,61,28,133,61,26,141,48,24,96,40,17,90
"09/09/2018","1246","Census Tract 208801","1247","Census Tract 208802",63,25,157,48,22,103,52,23,113,99,37,261,44,20,93,42,18,96
"09/10/2018","1246","Census Tract 208801","1247","Census Tract 208802",51,23,114,,,,53,25,114,54,23,128,50,24,102,38,16,86
"09/11/2018","1246","Census Tract 208801","1247","Census Tract 208802",52,24,113,57,26,123,58,28,120,56,24,128,45,23,87,38,16,88
"09/12/2018","1246","Census Tract 208801","1247","Census Tract 208802",55,24,122,59,23,150,58,27,122,60,26,140,46,24,90,50,21,119
"09/13/2018","1246","Census Tract 208801","1247","Census Tract 208802",54,24,123,65,23,178,63,28,144,61,28,128,43,21,86,35,18,67
"09/14/2018","1246","Census Tract 208801","1247","Census Tract 208802",54,23,122,58,25,135,51,23,112,68,27,174,,,,39,19,79
"09/15/2018","1246","Census Tract 208801","1247","Census Tract 208802",53,23,122,105,35,309,47,22,99,58,26,125,44,21,91,36,16,79
"09/16/2018","1246","Census Tract 208801","1247","Census Tract 208802",43,20,91,45,20,100,46,23,92,47,22,97,45,21,95,37,18,77
"09/17/2018","1246","Census Tract 208801","1247","Census Tract 208802",51,23,113,,,,57,27,117,56,24,127,44,21,92,42,20,91
"09/18/2018","1246","Census Tract 208801","1247","Census Tract 208802",57,24,132,62,26,147,58,27,124,69,29,164,44,20,94,42,16,106
