"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"10/01/2019","1242","Census Tract 208610","1244","Census Tract 208710",90,23,350,,,,91,26,323,87,24,306,53,12,227,62,18,209
"10/02/2019","1242","Census Tract 208610","1244","Census Tract 208710",83,22,308,114,27,477,84,22,309,82,26,256,59,19,184,44,10,183
"10/03/2019","1242","Census Tract 208610","1244","Census Tract 208710",89,25,313,107,31,364,97,35,271,95,27,336,68,19,238,74,17,311
"10/04/2019","1242","Census Tract 208610","1244","Census Tract 208710",75,22,257,77,25,241,110,38,317,91,25,322,50,16,154,47,12,176
"10/05/2019","1242","Census Tract 208610","1244","Census Tract 208710",79,21,295,74,19,286,87,29,263,81,23,286,81,20,324,64,16,251
"10/06/2019","1242","Census Tract 208610","1244","Census Tract 208710",71,18,273,62,21,186,69,19,251,83,20,342,63,17,231,64,16,250
"10/07/2019","1242","Census Tract 208610","1244","Census Tract 208710",91,25,328,99,30,320,110,35,342,93,27,319,44,13,145,84,16,424
"10/08/2019","1242","Census Tract 208610","1244","Census Tract 208710",75,20,280,,,,96,25,363,67,17,253,50,16,149,52,14,190
"10/09/2019","1242","Census Tract 208610","1244","Census Tract 208710",69,20,237,70,22,220,101,33,306,71,23,214,34,10,111,37,10,132
"10/10/2019","1242","Census Tract 208610","1244","Census Tract 208710",88,23,326,119,36,389,95,28,318,87,21,355,63,18,220,62,16,238
"10/11/2019","1242","Census Tract 208610","1244","Census Tract 208710",77,22,266,97,30,313,62,23,168,117,34,404,52,15,175,71,19,265
"10/12/2019","1242","Census Tract 208610","1244","Census Tract 208710",76,19,295,100,25,393,74,21,259,107,27,417,55,15,197,70,18,271
"10/13/2019","1242","Census Tract 208610","1244","Census Tract 208710",67,18,252,87,33,230,73,17,316,80,21,299,51,15,177,47,13,163
"10/14/2019","1242","Census Tract 208610","1244","Census Tract 208710",76,20,287,91,22,373,77,23,257,73,21,254,80,18,349,47,14,154
"10/15/2019","1242","Census Tract 208610","1244","Census Tract 208710",86,23,315,,,,123,39,390,87,22,342,64,18,227,40,12,136
"10/16/2019","1242","Census Tract 208610","1244","Census Tract 208710",79,20,299,82,25,267,86,21,346,94,24,367,55,15,201,27,10,69
"10/17/2019","1242","Census Tract 208610","1244","Census Tract 208710",82,23,292,76,25,229,109,35,333,83,23,298,68,18,255,39,10,144
"10/18/2019","1242","Census Tract 208610","1244","Census Tract 208710",86,24,311,93,29,297,99,33,293,98,25,377,59,16,209,87,19,384
"10/19/2019","1242","Census Tract 208610","1244","Census Tract 208710",77,19,301,69,18,270,99,29,335,102,26,396,58,15,223,52,14,196
"10/20/2019","1242","Census Tract 208610","1244","Census Tract 208710",67,17,251,97,26,359,63,20,201,77,23,258,56,15,204,57,13,233
"10/21/2019","1242","Census Tract 208610","1244","Census Tract 208710",88,23,341,98,28,334,96,28,324,110,28,431,51,13,195,44,12,159
"10/22/2019","1242","Census Tract 208610","1244","Census Tract 208710",91,23,359,,,,115,39,339,100,28,351,70,15,317,65,15,286
"10/23/2019","1242","Census Tract 208610","1244","Census Tract 208710",105,27,405,137,34,550,91,30,277,138,34,557,59,18,188,69,15,302
"10/24/2019","1242","Census Tract 208610","1244","Census Tract 208710",88,25,308,96,29,310,123,37,407,87,25,302,48,15,148,68,19,239
"10/25/2019","1242","Census Tract 208610","1244","Census Tract 208710",95,25,363,121,33,439,100,31,317,109,26,447,68,18,252,71,19,270
"10/26/2019","1242","Census Tract 208610","1244","Census Tract 208710",77,19,307,77,25,232,67,20,219,105,26,413,61,15,238,72,15,330
"10/27/2019","1242","Census Tract 208610","1244","Census Tract 208710",68,18,257,95,29,314,51,14,179,97,25,373,54,15,191,50,14,178
"10/28/2019","1242","Census Tract 208610","1244","Census Tract 208710",90,23,354,86,23,311,108,31,365,106,24,466,48,16,146,89,19,398
"10/29/2019","1242","Census Tract 208610","1244","Census Tract 208710",91,24,342,,,,120,38,377,74,18,295,63,17,232,49,14,168
"10/30/2019","1242","Census Tract 208610","1244","Census Tract 208710",98,23,406,143,51,400,119,30,466,91,20,410,68,17,266,71,18,282
"10/31/2019","1242","Census Tract 208610","1244","Census Tract 208710",112,29,428,97,26,361,128,43,379,139,32,590,97,24,379,69,17,273
"11/01/2019","1242","Census Tract 208610","1244","Census Tract 208710",91,23,358,126,32,485,113,34,375,113,29,441,56,16,200,64,16,251
"11/02/2019","1242","Census Tract 208610","1244","Census Tract 208710",81,21,312,59,17,203,53,17,163,129,35,475,79,18,332,58,16,204
"11/03/2019","1242","Census Tract 208610","1244","Census Tract 208710",81,21,317,120,33,435,113,32,399,97,28,332,76,20,282,44,12,158
"11/04/2019","1242","Census Tract 208610","1244","Census Tract 208710",82,23,284,86,22,336,93,27,318,99,30,326,50,19,133,65,17,237
"11/05/2019","1242","Census Tract 208610","1244","Census Tract 208710",89,23,344,,,,122,29,515,79,23,273,49,16,150,56,14,221
"11/06/2019","1242","Census Tract 208610","1244","Census Tract 208710",86,22,327,96,28,328,138,34,552,80,22,291,46,14,146,56,14,225
"11/07/2019","1242","Census Tract 208610","1244","Census Tract 208710",93,28,310,124,36,426,101,31,332,103,34,309,51,17,157,78,25,239
"11/08/2019","1242","Census Tract 208610","1244","Census Tract 208710",86,24,304,83,25,271,114,38,341,83,23,293,70,18,264,61,18,205
"11/09/2019","1242","Census Tract 208610","1244","Census Tract 208710",72,18,280,61,18,204,75,22,257,99,24,398,59,14,237,45,14,141
"11/10/2019","1242","Census Tract 208610","1244","Census Tract 208710",74,20,269,55,18,166,71,20,253,73,23,232,105,28,391,53,13,216
"11/11/2019","1242","Census Tract 208610","1244","Census Tract 208710",72,17,302,86,19,385,101,25,403,87,24,314,52,14,195,23,6,84
"11/12/2019","1242","Census Tract 208610","1244","Census Tract 208710",92,24,350,,,,114,35,371,84,24,290,64,17,243,28,9,86
"11/13/2019","1242","Census Tract 208610","1244","Census Tract 208710",86,24,301,102,27,381,86,29,254,90,28,291,69,18,267,71,17,296
"11/14/2019","1242","Census Tract 208610","1244","Census Tract 208710",84,25,280,92,31,274,105,33,334,83,25,268,62,17,220,60,19,185
"11/15/2019","1242","Census Tract 208610","1244","Census Tract 208710",83,22,304,96,25,362,106,33,333,82,25,273,63,18,216,38,10,144
"11/16/2019","1242","Census Tract 208610","1244","Census Tract 208710",75,20,284,98,34,284,66,19,228,98,26,362,65,16,253,57,15,216
"11/17/2019","1242","Census Tract 208610","1244","Census Tract 208710",65,18,232,89,36,219,45,14,142,70,20,236,54,13,210,73,20,261
"11/18/2019","1242","Census Tract 208610","1244","Census Tract 208710",94,26,333,89,28,281,103,31,341,119,29,484,61,21,176,83,17,388
"11/19/2019","1242","Census Tract 208610","1244","Census Tract 208710",95,25,355,,,,97,28,335,112,35,353,73,19,278,77,16,356
"11/20/2019","1242","Census Tract 208610","1244","Census Tract 208710",81,22,291,112,29,431,88,32,245,74,22,246,56,16,188,38,10,145
"11/21/2019","1242","Census Tract 208610","1244","Census Tract 208710",87,24,311,111,31,400,96,31,299,107,26,443,41,15,109,57,14,220
"11/22/2019","1242","Census Tract 208610","1244","Census Tract 208710",85,23,315,101,35,285,127,43,370,71,20,250,56,15,199,71,14,365
"11/23/2019","1242","Census Tract 208610","1244","Census Tract 208710",73,19,275,120,42,345,73,23,230,92,24,353,57,16,206,48,11,212
"11/24/2019","1242","Census Tract 208610","1244","Census Tract 208710",59,17,208,34,13,83,60,18,200,83,25,271,47,13,174,44,13,148
"11/25/2019","1242","Census Tract 208610","1244","Census Tract 208710",84,23,311,101,29,346,102,29,356,91,26,322,65,18,228,42,12,143
"11/26/2019","1242","Census Tract 208610","1244","Census Tract 208710",85,24,291,,,,121,38,385,81,24,279,67,20,224,40,14,113
"11/27/2019","1242","Census Tract 208610","1244","Census Tract 208710",94,24,370,99,26,381,102,28,374,124,32,473,56,16,192,57,11,289
"11/28/2019","1242","Census Tract 208610","1244","Census Tract 208710",79,21,299,70,22,224,112,28,449,65,19,217,83,21,328,66,16,265
"11/29/2019","1242","Census Tract 208610","1244","Census Tract 208710",67,18,240,91,30,269,61,17,217,62,15,253,61,20,185,73,17,318
"11/30/2019","1242","Census Tract 208610","1244","Census Tract 208710",74,18,297,96,26,350,66,17,244,73,20,270,72,16,325,80,23,276
"12/01/2019","1242","Census Tract 208610","1244","Census Tract 208710",76,19,297,104,30,356,57,16,204,87,21,346,51,16,156,101,20,493
"12/02/2019","1242","Census Tract 208610","1244","Census Tract 208710",88,23,332,88,30,259,121,35,418,71,17,288,102,23,447,44,15,128
"12/03/2019","1242","Census Tract 208610","1244","Census Tract 208710",111,29,420,,,,115,34,388,151,38,592,56,15,205,91,19,431
"12/04/2019","1242","Census Tract 208610","1244","Census Tract 208710",87,24,305,122,35,420,76,21,275,73,22,235,73,21,257,70,19,250
"12/05/2019","1242","Census Tract 208610","1244","Census Tract 208710",85,24,292,96,34,267,98,33,290,88,24,317,61,17,216,65,16,254
"12/06/2019","1242","Census Tract 208610","1244","Census Tract 208710",105,29,378,123,30,506,124,39,392,122,41,362,64,18,222,72,19,265
"12/07/2019","1242","Census Tract 208610","1244","Census Tract 208710",68,18,260,105,26,416,71,20,249,65,19,212,66,16,269,59,15,237
"12/08/2019","1242","Census Tract 208610","1244","Census Tract 208710",68,17,259,81,28,233,82,23,293,66,16,268,56,15,202,62,15,259
"12/09/2019","1242","Census Tract 208610","1244","Census Tract 208710",79,20,297,80,26,247,111,29,419,82,24,279,50,12,200,56,13,241
"12/10/2019","1242","Census Tract 208610","1244","Census Tract 208710",75,22,260,,,,75,26,214,84,22,316,67,17,251,27,11,69
"12/11/2019","1242","Census Tract 208610","1244","Census Tract 208710",73,22,241,73,21,247,84,29,241,69,21,224,58,17,200,78,20,303
"12/12/2019","1242","Census Tract 208610","1244","Census Tract 208710",97,27,343,116,24,562,105,36,306,100,31,319,75,22,259,80,20,320
"12/13/2019","1242","Census Tract 208610","1244","Census Tract 208710",90,25,330,97,26,363,103,30,350,110,35,342,73,19,277,59,15,221
"12/14/2019","1242","Census Tract 208610","1244","Census Tract 208710",72,18,286,86,22,333,83,23,301,99,21,448,50,14,179,55,14,213
"12/15/2019","1242","Census Tract 208610","1244","Census Tract 208710",70,18,273,41,11,154,88,22,343,90,22,363,53,15,187,57,15,215
"12/16/2019","1242","Census Tract 208610","1244","Census Tract 208710",106,27,418,113,35,360,185,44,775,97,27,353,66,16,276,58,15,224
"12/17/2019","1242","Census Tract 208610","1244","Census Tract 208710",96,27,344,,,,133,44,403,87,23,325,63,18,218,86,20,364
"12/18/2019","1242","Census Tract 208610","1244","Census Tract 208710",95,27,328,90,25,329,104,35,310,112,30,412,78,23,264,58,16,205
"12/19/2019","1242","Census Tract 208610","1244","Census Tract 208710",100,27,365,107,28,398,110,35,340,123,32,466,54,16,177,122,28,530
"12/20/2019","1242","Census Tract 208610","1244","Census Tract 208710",93,24,357,90,27,290,124,35,437,115,29,459,59,17,207,53,13,214
"12/21/2019","1242","Census Tract 208610","1244","Census Tract 208710",77,20,292,43,14,129,97,27,340,103,26,400,63,19,207,48,11,201
"12/22/2019","1242","Census Tract 208610","1244","Census Tract 208710",75,18,306,79,28,221,80,21,306,91,27,308,68,15,310,59,13,270
"12/23/2019","1242","Census Tract 208610","1244","Census Tract 208710",77,21,282,65,19,227,109,33,356,81,20,316,49,15,156,64,17,244
"12/24/2019","1242","Census Tract 208610","1244","Census Tract 208710",85,21,348,,,,87,21,355,114,34,385,75,16,345,40,12,129
"12/25/2019","1242","Census Tract 208610","1244","Census Tract 208710",97,24,383,68,21,216,100,39,256,75,18,304,68,15,297,147,35,607
"12/26/2019","1242","Census Tract 208610","1244","Census Tract 208710",63,17,231,64,22,188,87,28,266,76,18,314,49,14,171,37,10,134
