"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"09/17/2019","1230","Census Tract 207400","1229","Census Tract 207302",273,100,744,375,134,1047,303,126,729,256,96,679,213,83,541,260,70,959
"09/18/2019","1230","Census Tract 207400","1229","Census Tract 207302",278,101,761,325,137,770,334,143,783,274,82,914,232,93,582,194,71,531
"09/19/2019","1230","Census Tract 207400","1229","Census Tract 207302",254,91,703,261,102,666,325,123,859,295,108,809,188,71,498,213,72,626
"09/20/2019","1230","Census Tract 207400","1229","Census Tract 207302",250,93,676,257,105,629,298,110,807,328,111,971,193,75,493,219,88,544
"09/21/2019","1230","Census Tract 207400","1229","Census Tract 207302",241,87,666,222,86,569,392,118,1298,281,97,809,226,98,516,156,49,494
"09/22/2019","1230","Census Tract 207400","1229","Census Tract 207302",208,70,614,196,66,579,234,85,646,230,73,721,213,81,559,160,52,488
"09/23/2019","1230","Census Tract 207400","1229","Census Tract 207302",239,90,638,281,111,706,278,130,591,247,99,612,196,62,612,182,65,506
"09/24/2019","1230","Census Tract 207400","1229","Census Tract 207302",229,75,698,230,95,557,298,116,767,252,98,650,157,43,565,178,50,626
"09/25/2019","1230","Census Tract 207400","1229","Census Tract 207302",246,90,669,268,85,841,290,128,653,258,91,727,201,75,538,205,76,546
"09/26/2019","1230","Census Tract 207400","1229","Census Tract 207302",240,93,621,251,109,578,300,113,790,234,86,633,217,85,556,197,79,488
"09/27/2019","1230","Census Tract 207400","1229","Census Tract 207302",243,93,630,313,164,596,275,97,777,285,93,871,200,82,482,215,95,485
"09/28/2019","1230","Census Tract 207400","1229","Census Tract 207302",194,70,534,177,69,455,213,81,554,210,73,600,192,68,539,171,64,453
"09/29/2019","1230","Census Tract 207400","1229","Census Tract 207302",205,66,633,192,75,494,208,58,746,237,83,678,209,67,648,181,60,542
"09/30/2019","1230","Census Tract 207400","1229","Census Tract 207302",203,79,521,205,72,585,237,109,514,206,82,516,180,77,422,200,57,697
"07/01/2019","1230","Census Tract 207400","1229","Census Tract 207302",203,75,544,204,91,457,229,106,495,216,79,588,166,54,505,181,56,586
"07/02/2019","1230","Census Tract 207400","1229","Census Tract 207302",209,80,544,198,91,427,235,90,617,241,87,666,161,63,407,194,73,512
"07/03/2019","1230","Census Tract 207400","1229","Census Tract 207302",240,92,622,230,114,464,290,97,865,263,103,670,212,93,482,186,48,725
