"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"05/12/2019","1245","Census Tract 208720","1244","Census Tract 208710",71,30,170,71,27,190,72,32,162,87,37,206,71,32,157,55,23,133
"05/13/2019","1245","Census Tract 208720","1244","Census Tract 208710",86,35,208,100,38,258,87,38,201,98,39,241,61,27,137,65,30,139
"05/14/2019","1245","Census Tract 208720","1244","Census Tract 208710",89,36,216,105,48,229,106,46,248,82,31,216,78,36,171,55,20,148
"05/15/2019","1245","Census Tract 208720","1244","Census Tract 208710",92,37,228,131,53,325,107,41,280,81,35,190,65,30,141,54,23,127
"05/16/2019","1245","Census Tract 208720","1244","Census Tract 208710",94,38,227,110,42,283,102,44,233,94,35,248,73,36,147,81,32,203
"05/17/2019","1245","Census Tract 208720","1244","Census Tract 208710",82,34,192,87,31,241,101,47,216,89,36,219,66,30,142,55,28,110
"05/18/2019","1245","Census Tract 208720","1244","Census Tract 208710",72,30,173,84,37,189,61,29,131,81,33,200,72,31,167,52,21,126
"05/19/2019","1245","Census Tract 208720","1244","Census Tract 208710",64,26,155,74,32,170,62,28,137,72,31,168,66,27,164,51,20,128
"05/20/2019","1245","Census Tract 208720","1244","Census Tract 208710",76,32,180,103,43,245,78,36,168,71,29,172,69,33,141,57,22,146
"05/21/2019","1245","Census Tract 208720","1244","Census Tract 208710",105,42,264,132,59,293,173,65,464,81,31,206,63,30,132,58,30,109
"05/22/2019","1245","Census Tract 208720","1244","Census Tract 208710",87,38,199,106,44,254,89,41,192,99,41,239,64,33,123,58,26,131
"05/23/2019","1245","Census Tract 208720","1244","Census Tract 208710",81,33,201,101,37,276,85,38,187,86,34,215,67,29,155,63,24,165
"05/24/2019","1245","Census Tract 208720","1244","Census Tract 208710",90,37,222,123,49,310,92,40,213,94,38,235,70,30,160,87,32,230
"05/25/2019","1245","Census Tract 208720","1244","Census Tract 208710",65,28,150,87,29,261,62,30,130,72,31,165,64,28,147,46,23,94
"05/26/2019","1245","Census Tract 208720","1244","Census Tract 208710",70,30,164,75,36,154,76,32,181,80,35,179,66,29,149,53,21,133
"05/27/2019","1245","Census Tract 208720","1244","Census Tract 208710",75,33,172,83,37,184,76,33,177,74,32,172,87,40,189,60,26,137
"05/28/2019","1245","Census Tract 208720","1244","Census Tract 208710",91,38,220,115,44,303,117,51,267,84,37,191,69,29,162,61,28,130
"05/29/2019","1245","Census Tract 208720","1244","Census Tract 208710",89,36,218,100,46,218,99,40,240,94,35,251,75,32,177,70,30,165
"05/30/2019","1245","Census Tract 208720","1244","Census Tract 208710",79,35,177,98,47,204,95,44,202,76,35,162,58,26,131,63,28,140
"05/31/2019","1245","Census Tract 208720","1244","Census Tract 208710",85,35,204,109,46,255,98,42,228,89,36,220,68,29,159,51,23,114
"06/01/2019","1245","Census Tract 208720","1244","Census Tract 208710",78,31,193,78,30,205,91,41,200,92,33,253,67,29,155,55,24,124
"06/02/2019","1245","Census Tract 208720","1244","Census Tract 208710",72,28,185,50,17,145,116,44,305,76,30,190,58,24,141,61,25,150
"06/03/2019","1245","Census Tract 208720","1244","Census Tract 208710",81,33,196,93,38,230,81,35,191,86,33,222,74,33,166,52,22,120
"06/04/2019","1245","Census Tract 208720","1244","Census Tract 208710",80,34,187,90,42,191,89,40,196,84,32,215,67,31,141,52,23,118
"06/05/2019","1245","Census Tract 208720","1244","Census Tract 208710",82,34,199,85,33,216,95,41,220,85,37,194,65,26,162,72,28,184
"06/06/2019","1245","Census Tract 208720","1244","Census Tract 208710",81,31,207,84,33,211,88,37,210,87,31,238,66,29,152,69,24,196
"06/07/2019","1245","Census Tract 208720","1244","Census Tract 208710",84,36,197,81,35,188,99,43,227,99,36,267,68,32,145,57,29,114
"06/08/2019","1245","Census Tract 208720","1244","Census Tract 208710",82,32,208,94,35,250,97,41,229,106,43,257,65,28,149,56,21,150
"06/09/2019","1245","Census Tract 208720","1244","Census Tract 208710",85,33,215,86,31,238,94,41,218,98,36,269,81,34,189,63,27,147
"06/10/2019","1245","Census Tract 208720","1244","Census Tract 208710",88,34,226,91,30,275,122,49,304,84,32,217,62,30,129,70,30,165
"06/11/2019","1245","Census Tract 208720","1244","Census Tract 208710",80,33,188,117,39,347,76,37,154,85,39,184,65,27,159,54,24,119
"06/12/2019","1245","Census Tract 208720","1244","Census Tract 208710",87,35,214,107,43,269,84,37,190,97,36,265,72,32,162,62,27,141
"06/13/2019","1245","Census Tract 208720","1244","Census Tract 208710",90,37,215,111,50,248,114,45,287,93,38,223,69,32,148,50,22,114
"06/14/2019","1245","Census Tract 208720","1244","Census Tract 208710",94,38,228,111,38,324,103,48,220,98,40,243,88,38,202,53,23,122
"06/15/2019","1245","Census Tract 208720","1244","Census Tract 208710",76,33,176,67,29,152,85,33,215,84,37,188,75,35,158,60,25,145
"06/16/2019","1245","Census Tract 208720","1244","Census Tract 208710",70,28,177,65,27,156,69,31,153,75,27,207,79,33,189,61,25,149
"06/17/2019","1245","Census Tract 208720","1244","Census Tract 208710",84,34,204,103,40,260,81,31,211,79,35,175,76,30,188,85,35,204
"06/18/2019","1245","Census Tract 208720","1244","Census Tract 208710",90,36,221,81,31,207,121,44,332,84,36,199,74,35,155,84,33,214
"06/19/2019","1245","Census Tract 208720","1244","Census Tract 208710",78,32,191,100,32,312,97,39,242,70,30,166,68,31,145,68,26,177
"06/20/2019","1245","Census Tract 208720","1244","Census Tract 208710",74,30,183,91,37,226,98,37,259,75,28,196,58,27,125,45,22,90
"06/21/2019","1245","Census Tract 208720","1244","Census Tract 208710",84,33,213,108,41,284,83,39,179,85,33,219,85,31,229,52,25,106
"06/22/2019","1245","Census Tract 208720","1244","Census Tract 208710",79,33,189,122,45,327,82,35,194,77,33,178,78,35,173,64,25,163
"06/23/2019","1245","Census Tract 208720","1244","Census Tract 208710",77,33,180,69,30,161,82,35,191,86,36,203,71,32,156,67,29,154
"06/24/2019","1245","Census Tract 208720","1244","Census Tract 208710",82,34,195,93,34,255,80,37,169,82,37,183,77,35,169,80,27,231
"06/25/2019","1245","Census Tract 208720","1244","Census Tract 208710",83,34,200,95,33,274,107,44,257,77,33,177,71,31,159,54,26,113
"06/26/2019","1245","Census Tract 208720","1244","Census Tract 208710",78,32,189,97,40,237,74,37,149,84,32,215,69,30,156,57,20,162
"06/27/2019","1245","Census Tract 208720","1244","Census Tract 208710",92,37,226,78,29,207,101,45,226,106,39,284,77,39,152,75,26,215
"06/28/2019","1245","Census Tract 208720","1244","Census Tract 208710",93,39,221,109,37,318,86,43,171,117,47,289,81,36,178,53,23,119
"06/29/2019","1245","Census Tract 208720","1244","Census Tract 208710",72,33,159,75,30,184,89,46,170,84,36,195,64,31,133,60,29,124
"06/30/2019","1245","Census Tract 208720","1244","Census Tract 208710",86,38,196,85,36,199,76,36,159,106,47,237,72,33,155,72,30,172
"04/01/2019","1245","Census Tract 208720","1244","Census Tract 208710",78,31,199,89,34,232,81,38,172,84,32,221,73,28,188,56,21,151
