"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"05/12/2019","1254","Census Tract 209200","1255","Census Tract 209300",60,28,127,55,25,122,70,35,140,,,,59,28,122,50,24,103
"05/13/2019","1254","Census Tract 209200","1255","Census Tract 209300",70,32,153,75,34,162,132,61,285,66,32,133,57,27,117,54,25,116
"05/14/2019","1254","Census Tract 209200","1255","Census Tract 209300",66,31,143,75,34,165,140,61,319,69,33,140,52,27,100,50,25,98
"05/15/2019","1254","Census Tract 209200","1255","Census Tract 209300",68,31,148,67,32,142,156,74,328,69,33,142,59,29,118,47,24,93
"05/16/2019","1254","Census Tract 209200","1255","Census Tract 209300",74,34,162,89,39,201,141,71,278,74,36,151,57,28,114,57,27,121
"05/17/2019","1254","Census Tract 209200","1255","Census Tract 209300",75,33,170,69,33,146,138,61,309,90,40,199,57,29,115,58,26,129
"05/18/2019","1254","Census Tract 209200","1255","Census Tract 209300",61,30,125,54,27,108,68,38,122,72,35,150,62,31,123,47,23,94
"05/19/2019","1254","Census Tract 209200","1255","Census Tract 209300",57,27,116,57,27,121,59,30,114,,,,53,27,104,59,27,129
"05/20/2019","1254","Census Tract 209200","1255","Census Tract 209300",72,32,162,75,34,165,155,69,349,68,34,138,60,28,129,58,26,127
"05/21/2019","1254","Census Tract 209200","1255","Census Tract 209300",73,32,162,70,32,150,170,76,378,72,34,149,59,28,124,49,24,98
"05/22/2019","1254","Census Tract 209200","1255","Census Tract 209300",83,35,194,77,35,170,199,95,413,108,50,230,50,26,95,53,25,111
"05/23/2019","1254","Census Tract 209200","1255","Census Tract 209300",73,33,162,69,33,143,137,58,320,81,39,169,59,28,121,54,25,114
"05/24/2019","1254","Census Tract 209200","1255","Census Tract 209300",71,32,156,73,33,158,110,52,230,86,39,191,56,28,111,54,25,113
"05/25/2019","1254","Census Tract 209200","1255","Census Tract 209300",54,27,106,52,26,103,61,31,119,58,30,111,53,28,100,48,24,97
"05/26/2019","1254","Census Tract 209200","1255","Census Tract 209300",52,26,103,45,23,87,59,29,120,,,,52,27,103,49,24,100
"05/27/2019","1254","Census Tract 209200","1255","Census Tract 209300",56,27,116,46,23,93,50,26,97,61,29,127,59,28,125,53,25,112
"05/28/2019","1254","Census Tract 209200","1255","Census Tract 209300",66,31,141,66,32,137,129,58,286,71,36,138,50,26,94,56,26,120
"05/29/2019","1254","Census Tract 209200","1255","Census Tract 209300",67,31,142,69,33,144,149,76,292,68,34,136,53,27,102,52,25,108
"05/30/2019","1254","Census Tract 209200","1255","Census Tract 209300",72,32,158,64,31,131,164,72,373,78,37,163,62,30,128,47,24,94
"05/31/2019","1254","Census Tract 209200","1255","Census Tract 209300",71,32,154,77,34,173,132,55,317,81,38,173,54,28,104,50,25,103
"06/01/2019","1254","Census Tract 209200","1255","Census Tract 209300",60,29,121,60,28,130,65,33,128,68,33,141,60,32,113,48,24,96
"06/02/2019","1254","Census Tract 209200","1255","Census Tract 209300",57,27,118,71,30,170,61,32,116,,,,51,27,97,51,24,107
"06/03/2019","1254","Census Tract 209200","1255","Census Tract 209300",67,31,143,63,31,126,137,65,287,67,33,137,52,26,102,50,25,98
"06/04/2019","1254","Census Tract 209200","1255","Census Tract 209300",72,32,159,79,37,168,159,74,340,74,35,153,53,27,104,48,24,95
"06/05/2019","1254","Census Tract 209200","1255","Census Tract 209300",74,33,163,74,35,154,172,82,361,79,39,161,60,29,124,44,23,84
"06/06/2019","1254","Census Tract 209200","1255","Census Tract 209300",77,34,176,71,34,150,197,89,438,81,39,168,60,29,123,50,25,101
"06/07/2019","1254","Census Tract 209200","1255","Census Tract 209300",74,33,166,76,35,168,141,74,269,82,38,180,61,30,122,49,24,99
"06/08/2019","1254","Census Tract 209200","1255","Census Tract 209300",64,31,133,63,30,132,68,36,130,88,41,188,59,30,114,49,24,98
"06/09/2019","1254","Census Tract 209200","1255","Census Tract 209300",57,28,118,49,25,96,69,33,146,,,,56,28,110,50,24,102
"06/10/2019","1254","Census Tract 209200","1255","Census Tract 209300",72,32,159,61,31,119,145,74,284,73,35,152,58,28,123,55,26,118
"06/11/2019","1254","Census Tract 209200","1255","Census Tract 209300",83,36,191,70,35,137,200,88,452,79,40,155,64,30,138,55,26,115
"06/12/2019","1254","Census Tract 209200","1255","Census Tract 209300",74,33,164,72,35,147,184,84,402,73,38,140,58,28,120,47,24,92
"06/13/2019","1254","Census Tract 209200","1255","Census Tract 209300",78,34,177,63,32,121,215,97,474,76,37,156,62,30,130,48,24,96
"06/14/2019","1254","Census Tract 209200","1255","Census Tract 209300",74,33,167,70,32,154,139,58,331,89,40,195,60,31,117,53,25,114
"06/15/2019","1254","Census Tract 209200","1255","Census Tract 209300",65,31,137,50,25,98,73,34,153,91,40,206,64,32,126,45,23,88
"06/16/2019","1254","Census Tract 209200","1255","Census Tract 209300",55,27,114,56,25,124,61,29,130,,,,57,29,113,47,24,93
"06/17/2019","1254","Census Tract 209200","1255","Census Tract 209300",68,32,147,72,34,155,119,59,240,64,32,125,59,28,123,53,25,112
"06/18/2019","1254","Census Tract 209200","1255","Census Tract 209300",69,32,152,63,33,120,168,69,405,69,33,143,58,29,119,48,24,95
"06/19/2019","1254","Census Tract 209200","1255","Census Tract 209300",72,33,157,66,34,128,194,86,436,77,38,156,57,29,114,43,23,80
"06/20/2019","1254","Census Tract 209200","1255","Census Tract 209300",72,33,154,62,31,121,143,70,289,76,36,157,58,29,115,48,24,97
"06/21/2019","1254","Census Tract 209200","1255","Census Tract 209300",67,32,140,66,32,136,112,51,247,72,36,144,59,29,116,47,24,91
"06/22/2019","1254","Census Tract 209200","1255","Census Tract 209300",60,29,120,50,26,98,65,33,130,67,33,136,66,33,134,45,23,87
"06/23/2019","1254","Census Tract 209200","1255","Census Tract 209300",57,28,117,55,26,116,60,32,112,,,,60,28,126,51,25,103
"06/24/2019","1254","Census Tract 209200","1255","Census Tract 209300",69,32,151,72,34,152,141,71,281,67,33,137,52,27,101,52,25,107
"06/25/2019","1254","Census Tract 209200","1255","Census Tract 209300",72,33,160,60,29,123,167,82,339,70,34,144,58,29,118,48,24,95
"06/26/2019","1254","Census Tract 209200","1255","Census Tract 209300",71,33,156,64,31,132,148,68,321,73,36,146,61,29,127,45,23,85
"06/27/2019","1254","Census Tract 209200","1255","Census Tract 209300",74,33,165,69,33,147,177,79,394,80,39,166,60,30,122,45,23,88
"06/28/2019","1254","Census Tract 209200","1255","Census Tract 209300",73,33,162,62,30,125,161,76,336,85,40,180,58,29,113,47,24,90
"06/29/2019","1254","Census Tract 209200","1255","Census Tract 209300",57,29,112,50,26,97,65,37,114,69,35,133,55,29,104,48,24,95
"06/30/2019","1254","Census Tract 209200","1255","Census Tract 209300",53,27,106,58,26,126,57,29,111,,,,51,27,96,46,23,88
"04/01/2019","1254","Census Tract 209200","1255","Census Tract 209300",71,32,158,71,33,151,102,50,207,74,34,163,66,30,144,54,26,114
"04/02/2019","1254","Census Tract 209200","1255","Census Tract 209300",81,35,186,69,33,144,152,74,312,87,39,195,70,32,154,55,26,117
"04/03/2019","1254","Census Tract 209200","1255","Census Tract 209300",72,33,157,71,33,154,114,46,279,79,37,169,63,31,128,52,25,106
"04/04/2019","1254","Census Tract 209200","1255","Census Tract 209300",83,36,192,78,36,168,176,81,380,83,39,176,73,32,164,50,25,96
"04/05/2019","1254","Census Tract 209200","1255","Census Tract 209300",80,34,186,77,34,177,158,73,339,85,39,183,66,31,141,61,27,138
"04/06/2019","1254","Census Tract 209200","1255","Census Tract 209300",72,32,161,57,27,118,74,38,144,92,39,216,69,32,149,62,27,140
"04/07/2019","1254","Census Tract 209200","1255","Census Tract 209300",58,28,122,56,26,123,60,32,113,,,,60,29,125,55,25,119
"04/08/2019","1254","Census Tract 209200","1255","Census Tract 209300",74,32,169,76,33,172,142,63,321,77,35,166,59,27,129,52,25,108
"04/09/2019","1254","Census Tract 209200","1255","Census Tract 209300",78,34,176,69,32,150,171,77,379,74,36,152,67,31,145,52,25,105
"04/10/2019","1254","Census Tract 209200","1255","Census Tract 209300",84,36,196,91,40,208,188,87,406,86,40,184,63,30,132,56,25,124
"04/11/2019","1254","Census Tract 209200","1255","Census Tract 209300",82,34,193,75,35,162,177,82,381,90,41,199,63,29,137,54,25,115
"04/12/2019","1254","Census Tract 209200","1255","Census Tract 209300",80,35,185,71,33,152,165,79,345,91,39,210,65,32,134,59,27,131
"04/13/2019","1254","Census Tract 209200","1255","Census Tract 209300",65,30,137,78,33,186,65,34,127,80,37,173,63,31,125,46,23,91
"04/14/2019","1254","Census Tract 209200","1255","Census Tract 209300",59,28,122,55,26,115,70,35,140,,,,57,28,115,53,25,113
"04/15/2019","1254","Census Tract 209200","1255","Census Tract 209300",75,33,170,73,32,163,108,46,252,75,35,159,72,32,162,60,26,134
"04/16/2019","1254","Census Tract 209200","1255","Census Tract 209300",74,33,163,72,34,151,138,69,275,73,34,158,62,30,127,56,25,121
"04/17/2019","1254","Census Tract 209200","1255","Census Tract 209300",75,33,169,75,34,167,170,85,338,84,40,179,61,29,126,48,24,95
"04/18/2019","1254","Census Tract 209200","1255","Census Tract 209300",72,33,158,67,32,137,137,65,291,79,37,166,58,29,117,56,26,119
"04/19/2019","1254","Census Tract 209200","1255","Census Tract 209300",68,31,148,54,28,104,130,69,247,88,40,194,54,27,105,49,24,101
"04/20/2019","1254","Census Tract 209200","1255","Census Tract 209300",55,28,111,54,26,112,64,32,130,63,31,127,55,28,107,43,22,81
"04/21/2019","1254","Census Tract 209200","1255","Census Tract 209300",56,27,115,48,24,99,57,30,111,,,,59,29,120,46,23,90
"04/22/2019","1254","Census Tract 209200","1255","Census Tract 209300",71,32,156,78,35,173,118,53,261,68,34,139,67,31,145,51,24,105
"04/23/2019","1254","Census Tract 209200","1255","Census Tract 209300",79,34,182,68,33,140,180,77,419,88,42,186,64,29,140,52,24,109
"04/24/2019","1254","Census Tract 209200","1255","Census Tract 209300",77,34,176,77,35,171,189,82,435,81,39,167,61,29,128,52,25,109
"04/25/2019","1254","Census Tract 209200","1255","Census Tract 209300",74,33,165,75,34,163,179,87,365,79,38,167,60,28,125,45,24,84
