"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"10/01/2018","1260","Census Tract 209520","1262","Census Tract 209820",95,37,238,130,58,291,73,28,193,104,39,273,76,32,181,59,32,110
"10/02/2018","1260","Census Tract 209520","1262","Census Tract 209820",86,35,211,101,52,194,80,37,170,,,,88,27,279,65,29,144
"10/03/2018","1260","Census Tract 209520","1262","Census Tract 209820",92,42,202,86,38,195,133,66,269,92,43,199,69,32,149,70,32,152
"10/04/2018","1260","Census Tract 209520","1262","Census Tract 209820",93,35,250,115,35,370,91,44,186,89,31,259,81,37,180,72,30,172
"10/05/2018","1260","Census Tract 209520","1262","Census Tract 209820",92,37,227,92,37,229,106,51,218,64,27,149,113,45,284,71,20,242
"10/06/2018","1260","Census Tract 209520","1262","Census Tract 209820",89,33,240,89,44,176,103,33,319,,,,85,28,255,,,
"10/07/2018","1260","Census Tract 209520","1262","Census Tract 209820",86,33,224,95,30,299,75,36,157,,,,81,34,191,78,28,215
"10/08/2018","1260","Census Tract 209520","1262","Census Tract 209820",109,42,280,132,49,357,104,55,195,132,48,363,60,23,157,84,36,195
"10/09/2018","1260","Census Tract 209520","1262","Census Tract 209820",83,35,196,79,32,194,101,42,245,,,,69,35,134,86,32,227
"10/10/2018","1260","Census Tract 209520","1262","Census Tract 209820",87,36,206,95,38,236,96,43,210,82,33,207,73,32,165,85,38,187
"10/11/2018","1260","Census Tract 209520","1262","Census Tract 209820",100,40,252,118,46,301,98,45,213,122,45,328,60,26,137,91,31,267
"10/12/2018","1260","Census Tract 209520","1262","Census Tract 209820",107,42,277,110,54,223,109,48,243,102,38,272,120,40,353,73,33,159
