"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"01/04/2019","1230","Census Tract 207400","1232","Census Tract 207502",194,86,434,196,100,386,212,97,463,198,88,447,190,84,432,153,63,369
"01/05/2019","1230","Census Tract 207400","1232","Census Tract 207502",182,80,414,161,61,424,195,76,502,181,86,378,208,90,478,150,74,303
"01/06/2019","1230","Census Tract 207400","1232","Census Tract 207502",224,91,553,161,78,331,269,112,648,207,85,506,222,82,597,226,97,526
"01/07/2019","1230","Census Tract 207400","1232","Census Tract 207502",218,92,515,267,134,531,215,88,527,208,86,502,178,75,420,196,74,516
"01/08/2019","1230","Census Tract 207400","1232","Census Tract 207502",198,89,439,218,110,430,213,97,468,208,98,441,,,,124,69,224
"01/09/2019","1230","Census Tract 207400","1232","Census Tract 207502",204,89,466,232,105,512,237,106,531,197,86,450,175,75,407,167,78,354
"01/10/2019","1230","Census Tract 207400","1232","Census Tract 207502",209,93,468,219,116,413,245,103,582,224,98,511,177,78,405,145,74,282
"01/11/2019","1230","Census Tract 207400","1232","Census Tract 207502",186,85,408,209,106,412,203,93,442,197,89,433,168,70,403,144,75,275
"01/12/2019","1230","Census Tract 207400","1232","Census Tract 207502",181,78,420,156,62,392,183,88,377,177,83,374,181,70,468,206,77,553
"01/13/2019","1230","Census Tract 207400","1232","Census Tract 207502",191,81,449,177,62,502,179,79,405,182,76,436,205,97,432,203,87,476
"01/14/2019","1230","Census Tract 207400","1232","Census Tract 207502",272,109,675,281,129,611,240,103,561,331,130,840,192,75,488,188,70,502
"01/15/2019","1230","Census Tract 207400","1232","Census Tract 207502",246,108,560,235,120,462,309,138,687,244,105,562,,,,147,79,273
"01/16/2019","1230","Census Tract 207400","1232","Census Tract 207502",215,94,490,217,110,428,267,128,560,204,92,449,184,67,507,157,74,330
"01/17/2019","1230","Census Tract 207400","1232","Census Tract 207502",206,88,485,241,107,541,212,82,546,201,91,444,195,80,479,171,73,400
"01/18/2019","1230","Census Tract 207400","1232","Census Tract 207502",214,93,492,237,115,487,216,100,463,243,96,616,187,80,438,183,91,365
"01/19/2019","1230","Census Tract 207400","1232","Census Tract 207502",233,96,566,205,79,530,240,104,553,291,110,770,179,87,370,203,82,501
"01/20/2019","1230","Census Tract 207400","1232","Census Tract 207502",203,83,496,186,93,370,202,84,484,203,84,488,185,72,472,227,90,575
"01/21/2019","1230","Census Tract 207400","1232","Census Tract 207502",196,82,464,167,73,382,206,86,489,191,82,445,200,84,476,198,78,504
"01/22/2019","1230","Census Tract 207400","1232","Census Tract 207502",216,98,477,237,122,462,228,107,484,222,94,522,,,,174,85,357
"01/23/2019","1230","Census Tract 207400","1232","Census Tract 207502",208,93,468,242,116,505,247,107,569,220,99,487,171,74,398,142,76,266
"01/24/2019","1230","Census Tract 207400","1232","Census Tract 207502",222,97,506,217,110,429,344,130,906,223,90,551,183,86,386,184,84,400
"01/25/2019","1230","Census Tract 207400","1232","Census Tract 207502",197,85,455,201,92,438,229,107,490,219,93,511,178,71,443,131,70,245
"01/26/2019","1230","Census Tract 207400","1232","Census Tract 207502",184,76,440,156,76,320,182,88,379,195,83,457,173,68,439,198,76,517
"01/27/2019","1230","Census Tract 207400","1232","Census Tract 207502",192,83,443,168,71,397,178,83,380,190,86,421,224,94,535,196,72,534
"01/28/2019","1230","Census Tract 207400","1232","Census Tract 207502",198,88,444,218,104,452,196,87,440,219,103,462,173,64,465,151,78,290
"01/29/2019","1230","Census Tract 207400","1232","Census Tract 207502",199,85,463,226,104,490,190,87,414,212,90,496,,,,137,62,304
"01/30/2019","1230","Census Tract 207400","1232","Census Tract 207502",218,95,496,270,121,602,219,105,460,220,96,504,181,81,401,154,65,362
"01/31/2019","1230","Census Tract 207400","1232","Census Tract 207502",195,87,437,207,105,410,185,89,383,201,84,478,189,80,450,193,83,447
"02/01/2019","1230","Census Tract 207400","1232","Census Tract 207502",204,84,494,209,104,420,212,86,523,213,99,459,186,67,514,204,86,484
"02/02/2019","1230","Census Tract 207400","1232","Census Tract 207502",181,71,458,131,60,285,187,73,477,175,68,450,168,64,443,214,91,503
"02/03/2019","1230","Census Tract 207400","1232","Census Tract 207502",190,74,485,170,81,354,191,83,439,185,70,487,182,69,476,215,81,571
"02/04/2019","1230","Census Tract 207400","1232","Census Tract 207502",209,90,486,209,95,463,207,99,433,222,89,552,196,76,502,201,91,445
"02/05/2019","1230","Census Tract 207400","1232","Census Tract 207502",209,88,498,254,126,513,198,78,500,201,84,476,,,,191,87,417
"02/06/2019","1230","Census Tract 207400","1232","Census Tract 207502",205,85,492,212,97,466,238,90,623,208,92,472,177,72,436,162,63,416
"02/07/2019","1230","Census Tract 207400","1232","Census Tract 207502",210,91,487,211,101,439,256,106,616,224,101,499,183,74,453,149,80,277
"02/08/2019","1230","Census Tract 207400","1232","Census Tract 207502",212,90,495,236,107,517,237,96,586,204,95,435,190,80,449,188,78,454
"02/09/2019","1230","Census Tract 207400","1232","Census Tract 207502",199,79,500,181,72,456,201,89,454,226,93,550,174,67,449,204,74,560
"02/10/2019","1230","Census Tract 207400","1232","Census Tract 207502",189,73,492,171,67,436,209,85,514,190,72,497,189,77,466,189,70,505
"02/11/2019","1230","Census Tract 207400","1232","Census Tract 207502",251,105,600,349,155,786,284,111,726,228,105,496,192,78,467,210,94,467
"02/12/2019","1230","Census Tract 207400","1232","Census Tract 207502",227,84,613,233,100,544,223,83,603,232,77,703,,,,216,94,495
"02/13/2019","1230","Census Tract 207400","1232","Census Tract 207502",218,89,528,245,125,480,248,105,585,193,76,486,203,75,545,155,70,342
"02/14/2019","1230","Census Tract 207400","1232","Census Tract 207502",226,95,539,262,115,595,244,103,580,225,95,531,195,81,467,211,87,512
"02/15/2019","1230","Census Tract 207400","1232","Census Tract 207502",211,88,504,190,84,432,241,105,551,226,97,525,181,72,453,192,75,490
"02/16/2019","1230","Census Tract 207400","1232","Census Tract 207502",188,75,470,177,74,421,188,81,437,189,73,487,182,70,469,211,85,521
"02/17/2019","1230","Census Tract 207400","1232","Census Tract 207502",202,78,522,184,74,457,193,83,447,191,73,502,204,79,523,228,84,619
"02/18/2019","1230","Census Tract 207400","1232","Census Tract 207502",185,73,472,169,64,448,171,71,411,191,72,503,206,82,514,180,71,457
"02/19/2019","1230","Census Tract 207400","1232","Census Tract 207502",218,88,539,269,104,695,222,92,538,219,92,523,,,,189,78,460
"02/20/2019","1230","Census Tract 207400","1232","Census Tract 207502",223,92,537,279,124,630,232,98,548,231,90,592,177,77,409,173,84,354
"02/21/2019","1230","Census Tract 207400","1232","Census Tract 207502",231,94,565,268,116,617,242,100,582,244,102,578,194,78,484,161,62,413
"02/22/2019","1230","Census Tract 207400","1232","Census Tract 207502",225,91,557,265,123,571,254,96,668,234,101,544,183,71,472,186,79,438
"02/23/2019","1230","Census Tract 207400","1232","Census Tract 207502",192,77,482,187,86,407,194,83,455,206,87,483,180,68,476,207,78,549
"02/24/2019","1230","Census Tract 207400","1232","Census Tract 207502",203,78,527,150,65,349,192,71,518,196,75,513,215,92,497,229,85,615
"02/25/2019","1230","Census Tract 207400","1232","Census Tract 207502",207,88,485,217,96,492,212,87,516,213,92,493,201,91,446,152,64,362
"02/26/2019","1230","Census Tract 207400","1232","Census Tract 207502",200,82,488,235,98,562,205,85,496,202,85,476,,,,177,73,426
"02/27/2019","1230","Census Tract 207400","1232","Census Tract 207502",195,86,442,229,112,469,197,90,430,197,84,456,187,80,438,140,60,324
"02/28/2019","1230","Census Tract 207400","1232","Census Tract 207502",212,92,487,231,105,504,219,85,559,213,95,478,202,90,454,156,73,333
"03/01/2019","1230","Census Tract 207400","1232","Census Tract 207502",192,84,439,219,107,451,193,86,432,218,93,509,179,71,448,138,71,267
"03/02/2019","1230","Census Tract 207400","1232","Census Tract 207502",182,76,435,148,66,328,182,86,387,184,80,422,170,68,425,218,80,588
"03/03/2019","1230","Census Tract 207400","1232","Census Tract 207502",195,78,486,193,76,486,194,76,494,175,74,411,207,88,487,212,78,578
"03/04/2019","1230","Census Tract 207400","1232","Census Tract 207502",210,92,481,245,105,572,191,83,438,218,100,477,194,88,424,180,69,467
"03/05/2019","1230","Census Tract 207400","1232","Census Tract 207502",200,83,478,220,100,483,230,96,550,192,79,469,,,,135,72,254
"03/06/2019","1230","Census Tract 207400","1232","Census Tract 207502",233,93,582,260,115,588,270,104,702,216,88,529,194,77,484,194,72,523
"03/07/2019","1230","Census Tract 207400","1232","Census Tract 207502",216,96,486,235,111,496,241,107,542,213,99,458,190,78,463,187,90,386
"03/08/2019","1230","Census Tract 207400","1232","Census Tract 207502",201,87,466,214,101,455,241,100,579,191,84,437,180,76,424,163,76,349
"03/09/2019","1230","Census Tract 207400","1232","Census Tract 207502",184,76,446,156,65,371,171,81,361,189,78,458,185,74,461,199,74,533
"03/10/2019","1230","Census Tract 207400","1232","Census Tract 207502",211,87,513,183,85,393,207,90,472,205,84,502,209,83,525,235,94,587
"03/11/2019","1230","Census Tract 207400","1232","Census Tract 207502",227,96,535,242,108,541,218,86,548,233,102,529,224,90,556,195,87,436
"03/12/2019","1230","Census Tract 207400","1232","Census Tract 207502",221,94,515,246,108,558,231,97,545,218,90,527,,,,177,91,344
"03/13/2019","1230","Census Tract 207400","1232","Census Tract 207502",220,91,530,210,100,443,262,108,635,223,94,531,188,74,477,198,75,518
"03/14/2019","1230","Census Tract 207400","1232","Census Tract 207502",217,91,516,244,103,574,225,94,540,207,94,458,223,81,609,153,81,290
"03/15/2019","1230","Census Tract 207400","1232","Census Tract 207502",206,88,482,220,100,486,219,91,529,221,97,501,189,76,470,166,77,357
"03/16/2019","1230","Census Tract 207400","1232","Census Tract 207502",197,81,473,194,81,462,179,82,390,268,104,692,179,71,451,165,76,359
"03/17/2019","1230","Census Tract 207400","1232","Census Tract 207502",222,88,562,190,76,470,220,93,520,192,83,445,239,86,658,258,95,701
"03/18/2019","1230","Census Tract 207400","1232","Census Tract 207502",209,86,505,228,109,474,201,79,513,216,87,539,187,80,436,198,79,496
"03/19/2019","1230","Census Tract 207400","1232","Census Tract 207502",198,86,454,230,103,511,188,80,440,195,80,476,,,,158,86,292
"03/20/2019","1230","Census Tract 207400","1232","Census Tract 207502",214,90,510,242,104,565,221,93,528,202,84,481,219,87,552,172,82,360
"03/21/2019","1230","Census Tract 207400","1232","Census Tract 207502",207,88,489,228,110,470,223,97,514,194,80,470,207,84,507,169,69,414
"03/22/2019","1230","Census Tract 207400","1232","Census Tract 207502",212,93,484,207,90,476,259,120,556,217,99,475,207,82,526,164,81,333
"03/23/2019","1230","Census Tract 207400","1232","Census Tract 207502",203,86,482,164,67,400,200,96,418,212,83,541,196,85,451,225,86,585
"03/24/2019","1230","Census Tract 207400","1232","Census Tract 207502",228,90,577,252,91,702,217,88,531,211,87,511,207,83,517,276,102,751
"03/25/2019","1230","Census Tract 207400","1232","Census Tract 207502",212,86,520,204,87,478,212,92,489,232,87,617,200,82,485,189,79,456
"03/26/2019","1230","Census Tract 207400","1232","Census Tract 207502",202,83,491,224,101,492,187,82,424,204,80,524,,,,188,77,458
"03/27/2019","1230","Census Tract 207400","1232","Census Tract 207502",215,86,534,230,101,524,227,90,569,210,87,505,208,75,574,187,80,434
"03/28/2019","1230","Census Tract 207400","1232","Census Tract 207502",242,96,609,230,96,549,322,126,820,242,105,559,200,80,499,181,64,510
"03/29/2019","1230","Census Tract 207400","1232","Census Tract 207502",198,82,473,207,92,463,189,86,412,214,88,520,188,76,463,186,70,494
"03/30/2019","1230","Census Tract 207400","1232","Census Tract 207502",194,78,480,221,88,557,180,73,443,185,76,448,202,80,507,193,77,480
"03/31/2019","1230","Census Tract 207400","1232","Census Tract 207502",200,80,497,174,71,426,190,74,483,183,79,423,216,91,514,228,82,633
"01/01/2019","1230","Census Tract 207400","1232","Census Tract 207502",269,107,677,231,101,524,221,99,494,211,88,509,,,,312,118,824
"01/02/2019","1230","Census Tract 207400","1232","Census Tract 207502",203,88,468,172,89,330,211,94,470,212,86,522,200,82,483,202,90,452
"01/03/2019","1230","Census Tract 207400","1232","Census Tract 207502",191,83,440,181,87,375,201,94,432,215,87,531,178,79,398,146,60,352
