"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"01/04/2019","1228","Census Tract 207301","1234","Census Tract 207900",258,104,639,191,60,602,338,155,733,232,93,576,239,96,593,176,90,344
"01/05/2019","1228","Census Tract 207301","1234","Census Tract 207900",221,91,536,148,54,406,254,116,556,246,95,630,214,87,530,194,84,447
"01/06/2019","1228","Census Tract 207301","1234","Census Tract 207900",222,97,507,192,77,475,220,86,565,240,100,576,219,105,458,216,101,463
"01/07/2019","1228","Census Tract 207301","1234","Census Tract 207900",223,82,601,180,60,535,270,89,816,226,88,577,209,91,483,194,89,420
"01/08/2019","1228","Census Tract 207301","1234","Census Tract 207900",256,99,659,213,78,582,307,129,729,261,93,725,241,96,603,182,85,389
"01/09/2019","1228","Census Tract 207301","1234","Census Tract 207900",282,105,761,211,63,705,402,155,1039,256,97,673,258,110,601,197,93,415
"01/10/2019","1228","Census Tract 207301","1234","Census Tract 207900",287,100,820,235,70,784,415,137,1248,267,96,740,230,98,540,182,77,427
"01/11/2019","1228","Census Tract 207301","1234","Census Tract 207900",241,95,605,186,62,553,325,142,746,242,86,682,203,90,457,176,81,382
"01/12/2019","1228","Census Tract 207301","1234","Census Tract 207900",238,95,598,173,65,455,229,105,499,268,107,668,221,92,532,253,89,719
"01/13/2019","1228","Census Tract 207301","1234","Census Tract 207900",222,92,536,201,79,511,232,96,558,213,84,538,218,84,561,229,102,510
"01/14/2019","1228","Census Tract 207301","1234","Census Tract 207900",265,106,663,209,75,575,339,145,792,265,105,662,227,101,509,200,86,462
"01/15/2019","1228","Census Tract 207301","1234","Census Tract 207900",346,125,954,179,63,507,513,198,1324,229,86,607,295,132,658,196,84,460
"01/16/2019","1228","Census Tract 207301","1234","Census Tract 207900",298,112,796,200,76,529,480,198,1165,242,94,626,236,91,609,209,106,413
"01/17/2019","1228","Census Tract 207301","1234","Census Tract 207900",239,95,599,207,88,485,317,124,812,252,101,625,206,81,521,179,82,392
"01/18/2019","1228","Census Tract 207301","1234","Census Tract 207900",294,114,760,185,68,503,428,177,1036,274,105,719,237,102,550,199,80,494
"01/19/2019","1228","Census Tract 207301","1234","Census Tract 207900",270,102,713,131,52,327,268,113,633,335,125,898,279,106,728,220,85,567
"01/20/2019","1228","Census Tract 207301","1234","Census Tract 207900",224,91,552,217,97,485,240,91,627,223,99,503,225,87,580,220,89,545
"01/21/2019","1228","Census Tract 207301","1234","Census Tract 207900",238,84,670,131,41,413,298,109,810,235,73,754,245,107,563,179,71,450
