"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"10/01/2019","1253","Census Tract 209104","1251","Census Tract 209102",102,47,222,101,58,178,120,50,288,,,,69,26,178,99,56,175
"10/02/2019","1253","Census Tract 209104","1251","Census Tract 209102",100,44,225,121,49,301,116,51,264,84,37,189,81,41,162,95,49,183
"10/03/2019","1253","Census Tract 209104","1251","Census Tract 209102",117,55,251,133,64,275,,,,115,53,247,99,46,214,103,49,215
"10/04/2019","1253","Census Tract 209104","1251","Census Tract 209102",113,50,256,97,43,216,151,70,326,112,53,235,104,40,270,88,45,171
"10/05/2019","1253","Census Tract 209104","1251","Census Tract 209102",93,44,196,79,44,142,92,54,157,107,51,224,87,39,193,87,32,236
"10/06/2019","1253","Census Tract 209104","1251","Census Tract 209102",98,45,215,92,47,180,112,47,269,102,49,213,105,47,234,75,36,158
"10/07/2019","1253","Census Tract 209104","1251","Census Tract 209102",110,48,251,104,48,223,123,55,271,109,54,219,84,26,265,121,47,308
"10/08/2019","1253","Census Tract 209104","1251","Census Tract 209102",104,46,233,96,53,173,130,68,249,,,,93,39,221,100,36,273
"10/09/2019","1253","Census Tract 209104","1251","Census Tract 209102",93,44,196,87,44,172,123,53,287,97,49,189,80,35,183,65,34,123
"10/10/2019","1253","Census Tract 209104","1251","Census Tract 209102",118,55,252,141,75,263,,,,118,58,241,89,46,172,84,37,190
"10/11/2019","1253","Census Tract 209104","1251","Census Tract 209102",108,49,240,120,54,269,131,46,371,102,51,205,105,50,219,79,41,149
"10/12/2019","1253","Census Tract 209104","1251","Census Tract 209102",95,43,209,92,48,173,107,48,239,84,48,144,104,37,287,92,34,249
"10/13/2019","1253","Census Tract 209104","1251","Census Tract 209102",94,44,201,88,45,169,111,65,188,82,40,169,93,40,214,106,39,283
"10/14/2019","1253","Census Tract 209104","1251","Census Tract 209102",82,42,159,86,47,158,78,43,140,83,43,161,80,37,174,80,40,160
"10/15/2019","1253","Census Tract 209104","1251","Census Tract 209102",103,47,227,119,54,261,112,53,235,,,,99,39,247,90,40,206
"10/16/2019","1253","Census Tract 209104","1251","Census Tract 209102",109,45,264,118,61,227,117,38,351,104,46,234,121,52,277,62,26,149
"10/17/2019","1253","Census Tract 209104","1251","Census Tract 209102",108,50,231,125,54,290,,,,105,55,201,87,38,200,80,41,155
"10/18/2019","1253","Census Tract 209104","1251","Census Tract 209102",106,50,226,94,48,186,130,68,249,110,57,215,84,38,184,93,36,242
"10/19/2019","1253","Census Tract 209104","1251","Census Tract 209102",100,46,215,100,49,204,93,49,177,102,53,194,108,40,294,93,42,206
"10/20/2019","1253","Census Tract 209104","1251","Census Tract 209102",83,38,179,84,48,149,81,31,207,83,41,169,91,37,223,74,38,144
"10/21/2019","1253","Census Tract 209104","1251","Census Tract 209102",101,50,204,107,60,191,108,56,208,107,53,215,100,43,229,76,39,148
"10/22/2019","1253","Census Tract 209104","1251","Census Tract 209102",129,56,297,135,57,319,170,83,345,,,,114,41,320,105,42,259
"10/23/2019","1253","Census Tract 209104","1251","Census Tract 209102",121,52,280,96,51,183,152,70,327,88,38,205,153,61,382,122,46,323
"10/24/2019","1253","Census Tract 209104","1251","Census Tract 209102",126,55,288,118,59,236,,,,134,56,316,134,53,339,88,37,206
"10/25/2019","1253","Census Tract 209104","1251","Census Tract 209102",110,52,232,103,58,181,115,56,237,125,56,278,93,48,182,95,41,221
"10/26/2019","1253","Census Tract 209104","1251","Census Tract 209102",104,44,248,108,43,270,118,38,361,95,41,224,112,53,234,94,41,215
"10/27/2019","1253","Census Tract 209104","1251","Census Tract 209102",84,38,186,88,46,167,83,35,200,77,34,173,87,38,202,91,44,188
"10/28/2019","1253","Census Tract 209104","1251","Census Tract 209102",112,48,260,104,60,180,107,50,226,109,44,268,97,43,217,156,46,523
"10/29/2019","1253","Census Tract 209104","1251","Census Tract 209102",109,50,237,111,59,208,140,60,324,,,,95,45,200,70,32,150
"10/30/2019","1253","Census Tract 209104","1251","Census Tract 209102",107,52,218,127,68,236,149,70,318,93,51,173,83,38,179,71,35,146
"10/31/2019","1253","Census Tract 209104","1251","Census Tract 209102",117,50,277,97,44,211,,,,120,58,249,140,50,390,86,34,214
"11/01/2019","1253","Census Tract 209104","1251","Census Tract 209102",110,48,252,146,59,362,116,73,184,101,39,258,105,42,263,83,37,182
"11/02/2019","1253","Census Tract 209104","1251","Census Tract 209102",100,48,207,101,45,225,104,57,189,106,50,223,98,47,202,84,39,182
"11/03/2019","1253","Census Tract 209104","1251","Census Tract 209102",102,39,266,92,30,281,121,46,315,107,41,278,64,25,161,105,45,244
"11/04/2019","1253","Census Tract 209104","1251","Census Tract 209102",107,49,232,90,48,169,133,54,328,116,53,253,94,49,182,93,40,216
"11/05/2019","1253","Census Tract 209104","1251","Census Tract 209102",123,55,277,103,63,168,181,78,422,,,,99,44,223,104,42,260
"11/06/2019","1253","Census Tract 209104","1251","Census Tract 209102",116,49,274,90,43,190,165,60,450,112,47,266,84,42,166,130,57,297
"11/07/2019","1253","Census Tract 209104","1251","Census Tract 209102",108,48,239,125,65,239,,,,123,51,293,75,40,140,67,31,146
"11/08/2019","1253","Census Tract 209104","1251","Census Tract 209102",111,47,259,109,58,203,116,51,264,130,48,347,95,42,213,83,36,191
"11/09/2019","1253","Census Tract 209104","1251","Census Tract 209102",88,44,174,82,47,141,89,49,162,94,47,190,85,43,169,77,34,171
"11/10/2019","1253","Census Tract 209104","1251","Census Tract 209102",104,47,226,107,42,275,93,41,213,88,49,157,107,48,238,143,56,367
"11/11/2019","1253","Census Tract 209104","1251","Census Tract 209102",95,41,221,88,48,160,130,47,357,94,43,203,93,43,200,55,20,147
"11/12/2019","1253","Census Tract 209104","1251","Census Tract 209102",123,54,283,140,57,343,124,56,273,,,,109,46,256,151,62,366
"11/13/2019","1253","Census Tract 209104","1251","Census Tract 209102",106,45,249,85,41,177,127,54,299,114,48,268,102,42,244,96,36,256
"11/14/2019","1253","Census Tract 209104","1251","Census Tract 209102",114,49,267,114,49,263,,,,121,49,299,108,49,238,66,27,155
"11/15/2019","1253","Census Tract 209104","1251","Census Tract 209102",118,51,274,120,49,291,137,61,303,107,44,256,107,49,230,112,50,251
"11/16/2019","1253","Census Tract 209104","1251","Census Tract 209102",102,48,216,108,51,230,93,50,171,119,55,256,94,41,212,92,41,205
"11/17/2019","1253","Census Tract 209104","1251","Census Tract 209102",94,39,224,96,47,195,102,55,191,109,49,242,80,30,214,66,25,176
"11/18/2019","1253","Census Tract 209104","1251","Census Tract 209102",111,51,241,116,69,194,127,48,334,119,54,262,99,49,199,62,31,123
"11/19/2019","1253","Census Tract 209104","1251","Census Tract 209102",117,52,264,120,60,241,100,39,256,,,,133,63,280,111,42,287
"11/20/2019","1253","Census Tract 209104","1251","Census Tract 209102",117,50,277,125,55,280,131,53,324,123,52,291,91,44,188,53,28,99
"11/21/2019","1253","Census Tract 209104","1251","Census Tract 209102",103,44,239,121,61,240,,,,106,51,221,90,38,212,76,25,234
"11/22/2019","1253","Census Tract 209104","1251","Census Tract 209102",114,49,261,127,56,289,125,50,315,106,45,246,110,54,223,83,40,169
"11/23/2019","1253","Census Tract 209104","1251","Census Tract 209102",98,47,205,84,45,157,113,54,234,102,50,208,80,38,168,99,37,264
"11/24/2019","1253","Census Tract 209104","1251","Census Tract 209102",86,40,185,94,44,204,65,38,112,82,37,182,82,39,172,109,46,255
"11/25/2019","1253","Census Tract 209104","1251","Census Tract 209102",116,47,285,100,39,252,161,64,402,106,54,208,97,36,258,73,28,189
"11/26/2019","1253","Census Tract 209104","1251","Census Tract 209102",99,44,222,76,36,160,109,46,255,,,,113,53,238,59,19,183
"11/27/2019","1253","Census Tract 209104","1251","Census Tract 209102",105,43,256,107,40,287,116,53,252,98,44,221,119,47,298,82,28,237
"11/28/2019","1253","Census Tract 209104","1251","Census Tract 209102",99,43,230,96,45,206,,,,104,49,218,112,48,263,93,38,228
"11/29/2019","1253","Census Tract 209104","1251","Census Tract 209102",103,48,220,70,39,124,104,58,187,125,61,253,90,39,206,108,46,255
"11/30/2019","1253","Census Tract 209104","1251","Census Tract 209102",97,42,222,111,44,280,104,53,204,101,44,231,89,35,223,72,36,144
"12/01/2019","1253","Census Tract 209104","1251","Census Tract 209102",104,46,232,77,37,160,89,50,158,115,56,237,111,42,296,111,48,257
"12/02/2019","1253","Census Tract 209104","1251","Census Tract 209102",93,43,200,96,44,206,95,44,204,91,53,157,66,24,181,113,52,244
"12/03/2019","1253","Census Tract 209104","1251","Census Tract 209102",101,46,222,115,58,227,102,60,174,,,,88,35,215,84,39,184
"12/04/2019","1253","Census Tract 209104","1251","Census Tract 209102",121,47,311,133,43,405,147,53,409,116,50,269,85,42,171,87,43,176
"12/05/2019","1253","Census Tract 209104","1251","Census Tract 209102",108,50,235,104,49,221,,,,95,47,194,104,47,229,67,34,131
"12/06/2019","1253","Census Tract 209104","1251","Census Tract 209102",119,53,265,154,78,302,124,58,265,120,55,260,111,54,229,73,28,190
"12/07/2019","1253","Census Tract 209104","1251","Census Tract 209102",94,41,213,89,48,164,107,51,222,107,46,249,84,38,184,62,24,155
"12/08/2019","1253","Census Tract 209104","1251","Census Tract 209102",89,41,194,66,32,135,116,50,268,95,47,193,90,35,229,71,38,131
"12/09/2019","1253","Census Tract 209104","1251","Census Tract 209102",102,50,210,108,61,192,116,58,232,107,62,185,74,28,192,82,34,193
"12/10/2019","1253","Census Tract 209104","1251","Census Tract 209102",99,45,215,109,52,228,111,55,223,,,,77,36,163,70,31,159
"12/11/2019","1253","Census Tract 209104","1251","Census Tract 209102",118,53,261,121,61,240,123,69,219,117,60,229,118,43,319,100,31,316
"12/12/2019","1253","Census Tract 209104","1251","Census Tract 209102",106,49,226,89,51,154,,,,107,49,234,105,47,233,64,28,145
"12/13/2019","1253","Census Tract 209104","1251","Census Tract 209102",113,49,263,112,45,276,123,61,247,106,47,234,117,44,304,94,40,220
"12/14/2019","1253","Census Tract 209104","1251","Census Tract 209102",105,49,224,95,44,206,97,51,184,119,53,266,102,46,225,98,43,223
"12/15/2019","1253","Census Tract 209104","1251","Census Tract 209102",89,43,186,99,47,208,110,48,252,89,48,166,80,42,154,78,33,181
"12/16/2019","1253","Census Tract 209104","1251","Census Tract 209102",126,49,321,100,45,218,181,84,393,116,46,289,150,54,414,89,31,253
"12/17/2019","1253","Census Tract 209104","1251","Census Tract 209102",111,45,270,112,49,252,112,53,236,,,,99,40,244,98,45,214
"12/18/2019","1253","Census Tract 209104","1251","Census Tract 209102",109,48,244,99,40,244,127,60,271,123,57,266,91,46,180,84,34,202
"12/19/2019","1253","Census Tract 209104","1251","Census Tract 209102",122,50,296,114,57,228,,,,112,51,248,84,32,224,90,40,202
"12/20/2019","1253","Census Tract 209104","1251","Census Tract 209102",108,48,242,113,43,296,138,71,268,98,47,202,93,47,186,105,33,330
"12/21/2019","1253","Census Tract 209104","1251","Census Tract 209102",96,47,194,92,47,181,101,51,201,90,46,175,95,47,190,108,45,255
"12/22/2019","1253","Census Tract 209104","1251","Census Tract 209102",86,38,194,84,36,196,77,47,127,105,52,212,92,33,254,58,28,122
"12/23/2019","1253","Census Tract 209104","1251","Census Tract 209102",118,50,279,99,48,202,148,70,316,132,55,314,100,44,223,90,33,245
"12/24/2019","1253","Census Tract 209104","1251","Census Tract 209102",111,44,277,91,30,273,116,57,236,,,,122,47,316,73,35,153
"12/25/2019","1253","Census Tract 209104","1251","Census Tract 209102",89,34,230,143,67,305,84,29,247,85,29,247,93,45,191,82,34,196
"12/26/2019","1253","Census Tract 209104","1251","Census Tract 209102",88,35,220,64,22,185,,,,70,32,150,82,29,229,119,54,258
"12/27/2019","1253","Census Tract 209104","1251","Census Tract 209102",101,44,232,109,43,274,94,45,197,106,51,222,98,39,244,89,37,216
"12/28/2019","1253","Census Tract 209104","1251","Census Tract 209102",81,38,172,60,27,133,107,51,221,75,36,158,88,44,176,71,33,151
"12/29/2019","1253","Census Tract 209104","1251","Census Tract 209102",90,42,193,78,40,153,86,43,170,112,52,239,73,32,163,89,41,192
"12/30/2019","1253","Census Tract 209104","1251","Census Tract 209102",106,40,278,115,48,278,112,39,321,97,35,267,116,55,246,88,32,240
"12/31/2019","1253","Census Tract 209104","1251","Census Tract 209102",92,43,196,105,45,247,106,47,237,,,,91,46,182,64,30,135
