R,Method,Constraint,rel_risk,n
0.1,"StochOptForest
(apx-soln)",no,2.748339364738129,400
0.1,"StochOptForest
(apx-soln)",no,2.719867511391821,400
0.1,"StochOptForest
(apx-soln)",no,2.661137668241716,400
0.1,"StochOptForest
(apx-soln)",no,2.560193139002041,400
0.1,"StochOptForest
(apx-soln)",no,2.509308755468835,400
0.1,"StochOptForest
(apx-risk)",yes,1.1228306810624433,400
0.1,"StochOptForest
(apx-risk)",yes,1.9434577504845079,400
0.1,"StochOptForest
(apx-risk)",yes,1.3796219819784046,400
0.1,"StochOptForest
(apx-risk)",yes,1.2952605470322756,400
0.1,"StochOptForest
(apx-risk)",yes,1.527122744380633,400
0.1,"StochOptForest
(apx-risk)",yes,1.2574559376938539,400
0.1,"StochOptForest
(apx-risk)",yes,1.3227366682449633,400
0.1,"StochOptForest
(apx-risk)",yes,1.2256311139978184,400
0.1,"StochOptForest
(apx-risk)",yes,1.7617164115536847,400
0.1,"StochOptForest
(apx-risk)",yes,1.3722976456959706,400
0.1,"StochOptForest
(apx-risk)",yes,1.3369938785306694,400
0.1,"StochOptForest
(apx-risk)",yes,1.2266539341800733,400
0.1,"StochOptForest
(apx-risk)",yes,1.4384428894449917,400
0.1,"StochOptForest
(apx-risk)",yes,1.4013195984428681,400
0.1,"StochOptForest
(apx-risk)",yes,1.2525612690633514,400
0.1,"StochOptForest
(apx-risk)",yes,1.822088792708797,400
0.1,"StochOptForest
(apx-risk)",yes,1.458148053331391,400
0.1,"StochOptForest
(apx-risk)",yes,1.1438373470634928,400
0.1,"StochOptForest
(apx-risk)",yes,1.0737012620358215,400
0.1,"StochOptForest
(apx-risk)",yes,1.1634793847575178,400
0.1,"StochOptForest
(apx-risk)",yes,1.1477668078403929,400
0.1,"StochOptForest
(apx-risk)",yes,1.237405357560824,400
0.1,"StochOptForest
(apx-risk)",yes,1.1746818652025917,400
0.1,"StochOptForest
(apx-risk)",yes,1.3119026565723404,400
0.1,"StochOptForest
(apx-risk)",yes,1.206697033241178,400
0.1,"StochOptForest
(apx-risk)",yes,1.2733943622223691,400
