,rf_rf,rf_random,grf,rf_approx_sol,rf_approx_risk,rf_approx_sol_unconstr,rf_approx_risk_unconstr,vanilla,oracle
0,1562.188586507257,1564.2533322168185,1560.3170996178221,1560.0708418627282,1560.5275371246107,1560.7164431795086,1561.318982981902,1564.9594567418244,1527.7201782461586
0,1553.2007111499954,1557.0853396666255,1551.201192350057,1551.9447032839794,1550.7126486556963,1550.2262043258752,1551.4158906645737,1550.959907304402,1515.9897199668392
0,1555.7285109389236,1557.3697171694216,1555.9484767275007,1555.568175581694,1555.366725690569,1555.1878826387062,1554.2764815669814,1560.0327124199346,1520.4796251430828
0,1559.25361738426,1564.1470292127765,1560.1098169405007,1560.1175327816568,1559.3211796247115,1559.0931411234046,1559.7942442370318,1564.3151068215675,1526.3922978628768
0,1560.9036850509535,1562.144938835169,1558.582322348638,1559.7969855477152,1559.2133709423429,1556.1329253708834,1558.8842316423243,1555.9473238789512,1521.173640905819
0,1555.1483464634225,1555.6432975486632,1554.6126784027717,1553.8338671243207,1553.4324220606475,1551.2925367014855,1551.9236759317657,1555.0521683140735,1517.1509111686466
0,1552.1817898662919,1552.9721255725292,1551.7503946420597,1550.8209849675718,1552.3541029330863,1550.2747488750301,1550.8008263478523,1555.83321329905,1518.909486133302
0,1556.7728460636488,1562.9570049439262,1554.4661432967205,1554.0788269068191,1555.09475055604,1553.9389801940988,1556.4334855761638,1556.482721552672,1522.0500008041383
0,1557.5595203200935,1556.364791457772,1554.5698768891086,1553.8596783628748,1556.0827449476878,1553.3705383040751,1552.8308099257977,1558.6605981294379,1520.7358665712054
0,1546.4672308680179,1546.7081518610448,1545.2317845497012,1544.2532524765306,1544.409720239834,1544.3604712484034,1544.4612747219014,1549.3077039601594,1513.8789264384404
