,rf_approx_sol,rf_approx_sol_unconstr,rf_approx_risk,rf_approx_risk_unconstr,rf_random,rf_rf
0,0.12315448469182422,0.0,0.13937103312646298,0.25775769183297065,0.6730680109127384,1.0
1,1.0,0.9525460495691064,1.0,1.0,0.21006344086008255,0.44376381065949316
2,0.005172200788173924,1.0,0.019052875822791162,0.0,0.012496533356162446,0.0
3,5.4804903052885165e-06,0.9845098218512057,0.011018774905961459,0.023985180589547038,0.41570050267478015,0.014110636816765037
4,0.0015719018055580746,0.9989203559058301,0.018590555482632158,0.002757446819637922,0.1518121703084932,0.024328934016708194
5,0.0,0.9648115352784055,0.0,0.026136125195939233,0.2569961063103058,0.012112609647180566
6,0.0009032224852255523,0.9713684552390044,0.006821394058760307,0.017144953713117406,0.0,0.0035666842619798762
7,0.004186464669080505,0.9765479621461677,0.016632745796581822,0.04062195760457596,0.25341185457208376,0.03300833426779803
8,0.0038826758454216827,0.9795271349503993,0.017251369125943324,0.012163720405945837,1.0,0.049345874149434955
9,0.004341955211300544,0.9798601899552372,0.020396541021515373,0.03671542381347663,0.2639491043798395,0.035170682590261446
