p,Method,rel_risk
5,"StochOptForest
(apx-risk)",1.6285631079482863
5,"StochOptForest
(apx-risk)",1.1347111468474385
5,"StochOptForest
(apx-risk)",1.0661003502200013
5,"StochOptForest
(apx-risk)",1.1409734734405468
5,"StochOptForest
(apx-risk)",1.1103514414200601
5,"StochOptForest
(apx-risk)",1.1345603040080943
5,"StochOptForest
(apx-risk)",1.3350055348319063
5,"StochOptForest
(apx-risk)",1.1001976049734918
5,"StochOptForest
(apx-risk)",1.1914537162357601
5,"StochOptForest
(apx-risk)",1.0943511098589669
5,"StochOptForest
(apx-risk)",1.2080607151608564
5,"StochOptForest
(apx-risk)",1.2230726048075788
5,"StochOptForest
(apx-risk)",1.0718540293896526
5,"StochOptForest
(apx-risk)",1.0972334882555186
5,"StochOptForest
(apx-risk)",1.152290312489402
5,"StochOptForest
(apx-risk)",1.0838056782956151
5,5-NN,1.8612861241375014
5,5-NN,1.9102869029525815
5,5-NN,1.928412677285846
5,5-NN,1.8069712400345777
5,5-NN,2.403555841112116
5,5-NN,2.299568904009715
5,5-NN,1.919039543841136
5,5-NN,2.0399027523323507
5,5-NN,2.3398594877792145
5,5-NN,1.8801933484616444
5,5-NN,1.6463368729039396
5,5-NN,1.7545891680438153
5,5-NN,1.976301292936293
5,5-NN,1.8482878125331217
5,5-NN,1.8805257110570783
5,5-NN,1.9575132274710436
5,5-NN,1.9581951560204316
5,5-NN,1.9476904769073227
5,5-NN,1.895314830351637
5,5-NN,1.9381870449226422
5,5-NN,2.39929944926617
5,5-NN,1.9050546118587968
5,5-NN,2.0521126231150686
5,5-NN,2.3171188420213165
5,5-NN,1.7690557020927533
5,5-NN,2.283263694280543
5,5-NN,2.2030163601570605
5,5-NN,2.1896205349543623
5,5-NN,2.0618874059696517
5,5-NN,1.8627538011435578
5,5-NN,1.7816068613197547
5,5-NN,2.0563699922501186
5,5-NN,2.033637832489134
5,5-NN,2.1267569521484884
5,5-NN,2.6039970524540172
5,5-NN,1.9797305095260915
5,5-NN,1.6718252863264482
5,5-NN,1.9166875600444915
5,5-NN,2.182159079947006
5,5-NN,1.8965184442714362
5,5-NN,2.0330703462534045
5,5-NN,1.8144158440517248
5,5-NN,1.9843552700578933
5,5-NN,1.759717952135875
5,5-NN,2.104125646007576
5,5-NN,2.321382593933738
5,5-NN,1.5048298348584952
5,5-NN,1.7978813884432707
5,5-NN,1.8388896488322073
5,5-NN,1.9485258727417163
5,10-NN,1.5227270693574688
5,10-NN,1.5410021047272295
5,10-NN,1.5741108040344076
5,10-NN,1.394843336824769
5,10-NN,2.0730989484831475
5,10-NN,1.738387876916517
5,10-NN,1.411073214960556
5,10-NN,1.6266146647242474
5,10-NN,1.711835242211996
5,10-NN,1.57186904008075
5,10-NN,1.3088919504002952
5,10-NN,1.383531350543938
5,10-NN,1.4596357320886038
5,10-NN,1.4100398145815185
5,10-NN,1.3545597372764109
5,10-NN,1.6802386178321447
5,10-NN,1.4957025985788266
5,10-NN,1.4933520677717482
5,10-NN,1.4833442096665663
5,10-NN,1.6542496189698486
5,10-NN,1.9868567913984028
5,10-NN,1.435760008087296
5,10-NN,1.6293577269373554
5,10-NN,1.8324539175550574
5,10-NN,1.3552274014813632
5,10-NN,1.8315727379963307
5,10-NN,1.7716600076124456
5,10-NN,1.5536921286998107
5,10-NN,1.5676299584303028
5,10-NN,1.4453261646616127
5,10-NN,1.4489724984965484
5,10-NN,1.6787862972180743
5,10-NN,1.515203647903749
5,10-NN,1.647467445338135
5,10-NN,1.9784480816277707
5,10-NN,1.395366551930474
5,10-NN,1.4080966929184273
5,10-NN,1.4735856945345962
5,10-NN,1.7253276111366753
5,10-NN,1.4482933528338489
5,10-NN,1.577451286938162
5,10-NN,1.5023287984387996
5,10-NN,1.5673441961473051
