,rf_approx_sol,rf_approx_risk,rf_rf,rf_oracle
0,1.0,1.0,1.0,1.0
1,0.08632444262953876,0.02584373247198452,0.9882243294645368,0.0043971939125613405
2,0.08133486496495981,0.015944733824826043,0.0007951013731738756,0.0021133482202872764
3,0.08469853229460055,0.004493087823986835,0.006350785759740854,0.0015200753520682533
4,0.0,0.012806043434713412,0.000546128750667915,0.003026667778235436
5,0.07929192069475678,0.0,0.01072968730449335,0.0011688538096748
6,0.0953164104354058,0.017980985750953464,0.0,0.0005952855728902988
7,0.08846674276727116,0.006456512488516669,0.016024409534570724,0.0017717371415174338
8,0.08501270596707973,0.010716133382051513,0.0082562110968299,0.0
9,0.047158342420841125,0.010983384571570299,0.004042219283690514,0.0030484962870817216
